Gene,Target,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,HomologyScore,BestPocket_Score,N_Pockets
PF3D7_0922900,1,550.11,897.261,885.632,17.9408,4.822,2.37,27.219,79.483,31.736,25.545,19.251,169.378,254.168,242.835,51.7044,0.919,-2.588,97,3089.668106,8,2
PF3D7_1332900,1,1363.451,2278.371,1497.06,114.98305,454.42,533.535,536.472,457.184,304.036,219.395,154.418,199.908,142.281,142.031,110.1173,0.12,-3.026,257,2924.513208,20.42,10
PF3D7_1230400,1,246.19,335.531,289.608,96.44735,9.529,18.862,107.034,206.061,200.498,145.473,115.228,70.064,41.52,124.087,114.8871,0.431,-2.873,15,0,0.9,1
PF3D7_1324900,1,5776.605,6504.661,4123.902,1072.4472,5654.912,5817.126,8014.181,6952.92,3637.951,2334.942,1550.334,1006.766,724.799,271.599,465.6083,0.159,-2.887,19,3322.779114,7.96,5
PF3D7_1419300,1,193.645,114.565,114.891,34.06505,191.308,179.437,200.553,100.576,60.511,53.62,35.487,73.789,46.622,9.847,96.8614,0.119,-3.204,45,2985.736493,2.84,5
PF3D7_1014400,1,91.021,58.691,47.669,22.1235,118.384,121.213,110.316,67.297,43.208,35.513,28.187,26.181,51.474,45.945,116.603,0.125,-3.062,48,4012.365432,16.17,4
PF3D7_1023200,1,1480.902,838.522,876,47.9936,206.246,239.016,194.631,140.702,117.065,92.313,64.986,111.559,85.35,197.135,8.956,0.614,-2.664,80,0,8.5,3
PF3D7_1451100,1,1471.618,2693.759,1068.236,802.84435,4387.784,5047.957,3944.452,2684.322,1183.946,928.311,666.302,1257.955,1016.948,545.684,617.8497,0.368,-2.544,11,6490.408413,8.37,13
PF3D7_0107500,1,112.657,140.82,111.184,1029.31235,759.334,591.753,422.89,213.217,140.872,184.826,509.333,168.825,120.742,94.031,210.4321,0.261,-2.596,390,387.75,63.82,26
PF3D7_1238800,1,315.437,146.369,113.703,590.3475,506.239,319.875,365.616,306.338,279.854,332.025,485.411,97.101,100.896,123.019,46.0597,0.131,-2.956,230,1982.316919,18.18,15
PF3D7_1213800,1,441.784,155.569,136.935,115.81185,443.086,413.46,332.932,288.974,178.58,132.886,90.984,45.935,49.192,25.553,8.9696,0.12,-3.106,174,3538.907775,24.41,5
PF3D7_0627800,1,118.16,268.5,267.133,191.846,176.057,190.037,204.328,227.162,197.43,189.538,199.998,132.965,72.896,64.237,60.8772,0.168,-2.84,473,2337.02989,16.64,15
PF3D7_1343000,1,331.511,485.645,508.638,2174.83015,2954.718,1772.002,5492.784,9132.062,6657.84,6134.103,4000.182,119.368,104.863,126.258,7.5335,0.129,-3.113,64,0,15.02,4
PF3D7_1126000,1,342.482,582.384,417.193,243.42645,709.055,819.275,750.049,543.453,432.155,410.459,244.858,134.742,92.95,49.645,96.2645,0.119,-2.949,527,2398.798223,14.44,8
PF3D7_0109800,1,170.371,152.742,206.717,101.66565,180.505,222.719,148.991,193.077,179.216,183.752,90.145,80.69,84.618,70.638,86.7132,0.143,-3.147,190,3652.173913,7.78,6
PF3D7_1104000,1,141.81,155.844,159.264,74.01725,218.074,278.865,223.828,210.851,128.366,107.651,85.377,95.262,143.267,125.745,715.719,0.13,-2.954,235,3595.53451,3.47,4
PF3D7_1347200,1,454.992,810.503,773.021,1038.31255,4057.626,6985.78,8065.349,4690.267,2408.299,2040.343,1353.594,821.983,873.074,1055.878,264.1211,0.122,-3.111,89,0,47.05,8
PF3D7_0316600,1,190.615,473.019,366.15,265.3293,827.405,1481.701,888.297,768.435,622.079,413.114,344.992,220.816,156.127,202.848,128.3218,0.869,-2.06,45,0,14.43,6
PF3D7_1323000,1,769.05,363.405,481.272,53.95975,119.809,58.488,24.495,31.597,85.29,46.375,57.92,1097.506,1844.421,3478.546,679.7121,0.148,-2.709,92,0,2.44,2
PF3D7_0104200,1,382.251,368.074,300.205,802.5146,111.985,100.623,168.562,153.793,203.581,362.12,799.532,66.654,36.996,27.04,77.4628,0.28,-3.379,245,0,45.63,5
PF3D7_1409300,1,121.146,102.112,154.954,420.4059,27.861,26.621,83.523,276.74,600.323,669.852,592.299,113.228,78.07,48.59,92.6657,0.13,-2.861,91,2827.2,2.46,4
PF3D7_0406200,1,224.983,341.803,342.372,3345.197,1018.709,1296.068,1042.147,1541.017,1690.88,1676.9,2107.962,54241.441,38313.872,13709.053,10420.4741,0.158,0,29,0,0,0
PF3D7_0823300,1,15.188,97.682,111.605,388.8221,210.481,362.829,330.524,428.444,372.291,430.827,265.049,312.054,233.33,131.169,181.8425,0.368,-2.517,547,1098.968464,12.09,3
PF3D7_0621200,1,121.048,243.035,68.464,142.33565,668.74,1693.91,1106.479,349.883,250.714,236.105,121.73,261.219,195.436,244.831,123.196,0.919,-2.67,30,0,11.1,4
PF3D7_1446800,1,72.99,68.493,60.654,56.9383,5.727,16.87,121.696,123.251,113.928,81.542,83.439,120.06,140.404,165.314,27.6956,0.271,-3.645,51,1853.672195,0,0
PF3D7_1360800,1,331.747,666.603,641.878,372.63195,723.66,915.961,823.338,902.123,900.633,721.879,498.212,331.231,287.122,215.786,175.3091,0.177,-3.277,373,1290.862112,30.31,25
PF3D7_0906500,1,65.179,32.817,26.531,467.34285,355.161,409.719,294.204,115.405,91.428,117.183,343.428,660.382,625.175,830.346,293.999,1,-1.391,202,2019.479562,13.01,4
PF3D7_1412600,1,43.888,157.097,119.549,33.82635,157.181,186.675,201.302,82.281,58.27,43.494,30.885,98.634,72.889,50.005,35.7105,0.122,-3.001,168,1935.497177,2.51,7
PF3D7_0907900,1,297.885,521.23,499.98,133.2309,23.573,100.519,374.475,529.558,576.535,276.545,260.769,123.771,154.854,339.917,521.8084,0.122,-3.244,73,2282.157676,5.86,2
PF3D7_0510500,1,98.079,61.769,92.954,182.0446,97.044,207.713,221.122,305.782,386.942,317.417,221.174,38.451,60.253,48.038,132.4679,0.12,-3.151,145,2109.637187,2.42,7
PF3D7_1356900,1,189.247,350.404,285.955,55.5492,52.07,32.203,82.966,199.4,225.86,115.957,112.605,96.255,64.569,21.418,49.5944,0.999,-2.765,16,6319.4,7.96,4
PF3D7_1129000,1,226.5,359.866,343.344,97.1536,90.454,221.716,218.713,220.602,179.094,144.796,87.255,221.066,182.964,116.124,145.3568,0.166,-2.784,79,3987.53271,6.78,3
PF3D7_0312400,1,155.704,176.191,108.133,366.5454,23.026,47.101,219.907,423.7,515.054,531.379,442.974,811.882,668.228,614.281,433.219,0.152,-2.791,42,4295.432727,16.71,8
PF3D7_1462800,1,13576.229,20409.806,12085.168,3626.45345,14108.522,11771.05,23592.19,21321.673,12822.641,8656.817,5995.904,2597.722,1446.103,480.109,879.031,0.132,-2.858,24,6409.524036,12.04,2
PF3D7_1012400,1,255.381,379.335,349.408,1214.37435,6184.918,7762.174,15898.219,10186.242,4344.246,4323.033,2006.401,77.171,93.253,106.432,52.3902,0.15,-2.897,4,4545.475325,14.47,2
PF3D7_1228300,1,29.078,57.54,77.869,89.78755,10.573,9.701,101.8,224.957,202.181,203.87,152.21,197.033,200.905,105.292,356.6837,0.806,-2.349,121,1116.373132,16.08,6
PF3D7_1337100,1,44.873,76.892,45.037,29.5711,8.626,76.273,152.305,111.895,86.078,62.524,44.604,21.585,21.333,15.189,188.4696,0.127,-2.795,94,4000,19.76,2
PF3D7_0618500,1,65.429,183.216,275.227,119.241,9.845,9.332,47.255,188.874,270.606,238.325,184.193,950.952,1084.239,1545.35,728.8726,0.12,-2.827,28,3130.979233,10.96,5
PF3D7_0616800,1,33.281,159.208,184.091,52.01675,16.744,98.549,116.1,147.774,126.663,92.068,76.827,130.092,154.873,131.756,84.7985,0.992,-0.442,61,1785.04952,29.15,6
PF3D7_1033100,1,459.19,262.223,214.419,1956.36925,1885.264,2069.188,2261.03,2067.311,1524.346,2256.743,1466.545,268.21,314.332,464.136,396.4221,0.18,-2.799,3107,815.8968619,14.62,23
PF3D7_1302600,1,97.572,56.097,89.452,120.23115,305.324,337.334,281.17,179.106,102.703,78.203,93.105,100.084,108.856,132.365,585.8628,0.133,-3.131,245,1654.493431,26.7,2
PF3D7_0932300,1,515.701,1052.636,577.688,109.6973,167.218,444.553,580.385,382.722,195.624,125.916,124.03,180.969,166.497,215.553,153.2138,1,-2.476,114,1947.347368,13.56,7
PF3D7_1108400,1,328.681,555.054,408.563,217.0908,700.741,691.346,873.172,790.597,408.997,305.221,270.596,135.566,129.495,129.717,150.3882,0.134,-3.148,12,6238.780299,11.4,4
PF3D7_0615100,1,281.192,421.878,452.765,22.68535,5.568,1.948,1.526,11.409,50.981,34.759,37.542,258.702,319.814,293.188,175.2391,0.505,-2.462,180,0,19.46,8
PF3D7_1029600,1,1018.391,1236.083,904.834,648.62865,2296.445,1458.303,3574.882,3879.124,1942.15,1467.093,1075.697,82.642,81.576,54.989,103.0468,0.121,-2.967,74,2479.518256,20.38,1
PF3D7_1460400,1,64.271,130.298,242.599,42.46155,91.199,126.973,155.907,168.347,93.484,48.293,51.634,89.951,64.346,76.465,0.8118,0.652,-2.016,108,3534.439655,1.72,4
PF3D7_1350100,1,524.271,1072.836,581.756,213.9923,614.087,738.817,741.417,753.327,460.943,348.575,242.711,424.992,401.116,391.118,199.2446,0.329,-2.517,117,4837.07084,20.28,7
PF3D7_0812400,1,693.99,492.005,362.982,323.51835,414.152,645.265,844.632,982.276,686.002,576.059,402.388,415.704,346.904,149.675,100.077,0.153,-2.927,9,4513.736147,7.08,2
PF3D7_1008700,1,1543.198,1255.23,795.294,293.3712,37.782,44.056,283.47,665.493,549.017,493.663,405.687,8834.452,3883.465,874.312,2322.2062,0.305,-2.901,7,8651.724944,16.97,4
PF3D7_0903700,1,65.116,59.084,48.477,140.9656,17.826,23.08,174.985,471.848,378.11,303.416,226.704,2437.565,3831.952,5157.888,1132.868,0.599,-2.602,9,8322.317881,17.42,5
PF3D7_1416500,0,313.371,304.782,218.477,1067.3718,331.854,63.193,34.079,32.151,95.347,113.329,498.025,66.917,12.917,55.566,74.5317,1,-0.704,59,2170.187234,11.6,5
PF3D7_1447900,0,24.252,54.938,60.027,47.9003,23.979,199.378,322.687,164.04,100.996,67.875,75.455,89.016,88.478,35.417,40.0861,0.129,-2.868,383,2070.323828,7.27,16
PF3D7_1145500,0,114.012,56.07,51.457,26.83265,4.522,14.337,89.009,108.856,87.637,48.477,37.757,86.873,69.205,32.369,0,1,-0.269,463,852.3481393,18.59,13
PF3D7_1339900,0,28.744,67.688,62.923,29.1903,5.147,18.557,67.947,94.573,90.209,57.526,50.963,118.288,130.04,218.901,169.7555,0.998,-2.39,395,529.724973,7.9,11
PF3D7_0406400,0,18.83,52.034,38.351,61.18485,74.42,79.085,44.1,58.399,72.722,86.359,90.202,104.43,106.949,101.757,213.4357,0.592,-1.357,49,3802.241825,9.87,1
PF3D7_0831700,0,77.323,20.535,17.078,1140.6223,10627.566,4207.11,1481.675,633.694,218.911,241.545,267.22,48.18,57.763,25.649,58.5521,1,0.585,8,6509.544183,23,6
PF3D7_0927300,0,24.666,107.523,99.388,160.07525,9.695,4.076,27.278,143.355,279.942,247.247,204.152,115.475,39.429,53.832,593.3742,0.127,-2.952,139,0,9.78,12
PF3D7_0806200,0,0.516,5.163,22.038,70.58275,7.282,1.729,2.518,53.642,107.905,103.385,117.953,65.763,67.335,24.532,155.6743,1,-2.623,189,805.5088409,30.74,34
PF3D7_1325600,0,0,0,0,116.88445,14.724,32.31,148.61,233.583,249.391,206.501,227.579,325.277,243.98,649.733,433.1318,0.632,-3.676,12,2836.858156,0,0
PF3D7_1031200,0,0,2.591,9.995,260.96275,10.976,8.508,4.595,21.687,187.338,176.578,271.208,451.55,543.503,1188.043,501.6053,0.36,-2.529,62,2527.469505,4.76,8
PF3D7_0207900,0,1102.831,1731.434,2421.144,83.12735,3.619,1.061,2.56,68.922,155.106,193.114,96.128,18.203,19.086,73.972,0,1,-0.99,1503,651.5773756,18.05,12
PF3D7_0207800,0,35.713,62.077,112.779,134.4922,23.117,4.211,5.046,219.094,330.894,440.579,260.163,8.638,2.817,4.249,0,1,-2.533,379,677.4215054,24.11,12
PF3D7_0207400,0,108.941,272.643,2359.415,230.4827,21.436,4.178,14.535,393.961,507.277,614.669,294.288,10.017,21.001,8.816,28.0753,1,-1.186,579,591.9708245,14.95,20
PF3D7_0207300,0,156.78,11.073,4.192,32.75875,1.709,0.031,0.092,2.771,13.601,12.176,25.877,3.499,28.567,25.255,0,0.998,-2.593,865,883.6409426,3.89,6
PF3D7_1206000,0,8.693,26.194,23.79,317.2857,31.239,4.836,2.604,65.367,285.475,379.998,521.065,29.966,25.487,32.735,199.9372,1,-2.559,58,0,3.88,3
PF3D7_0823600,0,47.37,33.344,25.888,11.5625,27.33,31.971,11.229,12.48,25.704,11.217,14.347,34.751,75.407,11.695,4.6809,1,-0.194,213,0,9.07,4
PF3D7_0502400,0,0,7.249,1.205,238.40175,774.272,366.998,19.305,8.306,19.065,35.457,112.555,163.323,198.639,34.189,2.1732,1,0.666,584,435.5100503,4.13,5
PF3D7_1351600,0,22.4,45.188,30.565,356.7215,38.003,11.062,23.962,43.046,138.042,116.34,276.572,4127.035,5038.177,5778.482,1656.3943,1,-1.682,91,3932.183633,23.11,7
PF3D7_0729200,0,48.853,76.046,126.893,11.97785,3.698,5.094,66.256,95.231,62.514,33.705,28.208,32.36,17.154,34.706,0,0.857,-2.976,47,1916.671667,1.84,2
PF3D7_0610600,0,131.877,45.034,46.815,64.39835,16.938,55.738,152.336,128.216,126.153,112.85,99.547,66.35,99.186,47.965,56.1875,1,-1.197,42,2475.617544,12.63,10
PF3D7_0507400,0,35.06,8.383,22.735,158.48945,17.389,1.59,0.468,9.923,36.82,60.882,232.68,10.986,24.008,8.086,154.6075,0.998,-0.799,41,0,0,0
PF3D7_0909200,0,0,2.296,7.432,22.61315,2.837,2.879,2.692,6.383,19.674,18.123,33.341,7.318,20.618,14.759,0,1,-0.329,170,2025.620469,17.39,5
PF3D7_1444500,0,13.024,30.455,40.244,52.85575,105.213,40.941,13.622,26.878,44.093,35.045,38.084,41.883,33.985,22.667,32.2094,1,-1.267,756,629.0150834,13.45,26
PF3D7_1431500,0,31.547,28.564,38.998,64.91835,7.426,37.912,97.95,119.735,140.343,141.203,86.169,413.539,463.672,679.51,271.034,1,-2.499,245,1717.706783,9.57,10
PF3D7_0525900,0,0,0,0.266,24.4213,0.932,0.433,0.096,0.125,1.784,4.85,11.156,403.327,385.936,263.411,66.932,0.754,0,155,3636.334615,12.99,7
PF3D7_1221000,0,17.513,22.194,41.978,67.70315,8.41,17.283,57.176,119.264,127.545,159.785,126.939,49.345,64.382,47.354,14.6116,1,-1.865,569,0,14.85,18
PF3D7_0501500,0,0,0,0.581,676.37945,79.621,10.478,2.166,226.042,819.516,1087.471,1460.652,5.902,7.539,7.044,20.0423,0.999,-2.948,60,0,4.71,6
PF3D7_0402300,0,0,0.255,0.913,283.74355,42.437,4.823,3.095,4.645,22.066,115.61,241.624,10.322,8.408,3.248,89.0582,1,-2.533,4614,0,0,0
PF3D7_1036000,0,0,0,7.892,504.80495,55.581,9.653,1.636,32.152,136.934,303.986,761.805,10.214,0.902,0.642,0,0.391,-2.514,98,0,2.45,3
PF3D7_1035600,0,0,0,20.709,271.64125,19.133,2.368,1.662,60.236,187.363,267.116,267.993,1.611,6.558,0.311,0,0.999,-2.559,134,0,20.51,3
PF3D7_0206900,0,17.622,61.81,94.717,850.21375,70.723,20.119,82.396,93.298,194.168,282.135,897.799,21.332,0.902,2.96,1.0821,0.988,-2.098,76,0,1.9,2
PF3D7_0207700,0,0,19.238,87.187,229.28335,18.16,3.788,5,443.457,727.317,888.096,347.088,10.249,0.832,0,0.5137,1,0.947,1128,696.4745322,22.21,17
PF3D7_0616500,0,2.053,7.695,8.885,7.9892,0.917,0.463,0.754,1.381,5.481,6.803,8.075,213.328,376.268,571.923,227.0901,1,0.179,683,277.171116,4.05,7
PF3D7_1335000,0,0,0,0.368,35.336,1.025,0.335,0.132,6.923,31.654,45.424,39.316,4.127,4.848,6.426,0,1,-1.197,183,0,9.16,3
PF3D7_1334800,0,0,0.115,178.534,42.93905,29.402,16.073,21.593,129.318,122.096,91.155,72.34,0,0.23,6.337,0,0.993,-2.648,95,0,11.15,2
PF3D7_1334600,0,0,39.628,162.696,47.3669,20.659,2.826,6.997,108.088,194.881,135.62,103.855,22.473,25.115,17.58,0,1,-2.12,149,0,4.63,3
PF3D7_1334400,0,1733.035,6837.728,9382.872,24.6265,0.798,0.751,8.053,44.604,53.026,77.355,54.607,1.935,0.857,2.931,0,0.12,-3.036,215,0,34.06,4
PF3D7_1334300,0,171.094,444.664,540.996,110.017,9.241,168.559,439.424,236.807,269.573,241.869,172.711,12.943,7.8,0,1.8499,1,-0.451,230,1154.703268,26.13,3
PF3D7_1334500,0,27.71,32.804,45.861,22.16245,3.925,37.514,297.613,209.214,87.304,85.948,48.227,3.575,8.847,0.17,1.2187,0.232,-2.637,723,0,13.13,9
PF3D7_1334700,0,69.768,68.525,27.769,110.60695,1245.916,320.172,86.924,140.292,116.914,60.454,107.674,14.799,6.694,32.316,0,0.167,-3.236,73,0,10.96,8
PF3D7_0726200,0,0,8.471,7.811,21.91635,102.113,377.954,133.97,29.166,20.967,25.007,19.644,158.658,168.513,164.216,94.6777,1,-0.82,439,757.4076923,16.67,11
PF3D7_1200800,0,6.942,124.143,208.306,198.5435,151.043,60.89,37.002,22.828,33.291,26.928,62.099,22.053,20.381,16.654,16.2259,1,-2.428,198,0,26,11
PF3D7_0612700,0,16.855,86.992,237.59,911.17205,77.181,37.261,40.12,180.081,633.028,710.347,1086.102,118.059,80.495,147.59,13.5596,0.155,-3.277,149,0,2.36,3
PF3D7_0404900,0,37.025,524.335,759.415,518.8943,75.681,58.183,55.727,283.547,645.775,632.091,870.65,54.65,28.904,42.976,8.9565,0.799,-3.133,220,0,6.43,4
PF3D7_0719200,0,10.351,161.399,181.605,19.14235,2.459,2.391,2.153,5.193,17.188,15.44,18.102,506.79,706.542,563.04,26.2229,0.195,-2.384,10,3677.382581,12.25,4
PF3D7_0815900,0,2144.378,1704.514,1488.281,27.39975,4.818,1.847,12.695,38.491,51.78,37.62,44.688,34.354,42.129,52.385,13.6561,0.999,-0.134,273,2492.454054,33.42,7
PF3D7_0820700,0,122.712,336.672,249.525,101.48,19.234,23.081,155.771,407.789,355.796,257.724,165.91,393.874,316.609,177.122,159.8875,1,-1.656,177,3843.936416,12.55,15
PF3D7_1108500,0,77.525,281.082,224.888,210.84905,22.748,17.557,106.473,442.617,696.895,426.144,372.215,692.708,652.663,882.061,610.8498,1,1.366,81,5779.844648,2.87,5
PF3D7_1022500,0,97.843,94.511,99.984,330.9466,76.014,18.081,34.689,111.625,166.181,170.024,394.83,74.235,80.478,87.245,15.5923,1,-1.91,61,3268.195737,15.49,5
PF3D7_1322500,0,8.944,57.732,57.662,268.4985,19.69,4.675,23.642,209.274,487.941,405.229,434.064,312.786,333.19,188.869,227.0789,0.966,-2.787,242,621.3035503,17.07,14
PF3D7_1318200,0,183.397,214.987,186.751,21.79395,1.355,2.223,10.538,23.625,36.797,20.737,34.193,11.467,88.422,69.109,235.2971,1,0.463,121,0,20.38,4
PF3D7_0404500,0,18.138,40.028,72.024,30.248,25.611,30.251,9.427,21.121,26.955,28.843,34.525,70.757,89.211,56.549,1.3308,0.123,-3.017,260,0,1.88,4
PF3D7_1426500,0,0,27.634,57.793,36.66835,3.549,0.135,3.535,19.793,68.984,42.638,52.049,2421.572,3212.145,1740.819,4302.3866,1,-1.22,40,2499.988636,8.81,7
PF3D7_1115900,0,116.168,197.816,113.564,294.66995,56.937,12.996,7.772,22.593,54.796,68.226,142.992,94.875,68.112,78.314,86.8421,1,-1.266,63,2627.986348,26.04,7
PF3D7_1216700,0,0,4.815,6.7,68.3288,37.849,23.665,37.808,43.287,76.323,54.748,66.574,519.976,281.02,192.715,158.409,1,-2.741,429,0,4.95,8
PF3D7_1364900,0,37.605,245.657,170.182,19.4838,32.521,21.957,25.62,46.891,46.189,43.565,30.179,52.341,42.64,47.811,0.8046,1,-0.852,91,2685.751714,39.24,4
PF3D7_0317100,0,5.28,43.831,28.379,22.22155,4.065,3.083,5.912,9.432,29.869,21.663,25.399,75.815,46.365,51.225,115.854,1,-0.276,458,0,13.48,10
PF3D7_1147000,0,493.253,193.84,171.84,7.9714,0.586,0.374,1.4,3.582,7.038,6.367,9.099,10.553,5.134,5.028,14.8172,1,-0.719,2030,0,0,0
PF3D7_0813800,0,6.104,87.079,91.756,140.2557,38.156,10.14,28.357,50.562,138.516,137.945,214.883,844.853,993.916,969.829,263.7282,0.179,-3.073,38,5266.095238,30.98,1
PF3D7_1342500,0,1.708,15.682,13.38,229.52125,20.581,3.476,9.822,19.267,45.687,40.952,172.337,50.251,43.436,38.742,0.9014,0.151,-3.061,247,0,0,0
PF3D7_0408700,0,7.196,1.8,0.485,26.4649,0.628,0.28,4.012,10.732,45.502,23.577,28.953,108.184,184.642,339.49,282.8846,1,-1.461,833,0,6.26,11
PF3D7_1147800,0,3029.554,31.647,31.29,95.92785,121.65,65.721,15.055,16.6,33.572,63.748,41.595,15.887,36.748,14.151,1.1306,1,-0.858,196,262.7752798,13,21
PF3D7_1005500,0,51.253,91.99,89.289,90.0108,33.034,106.002,210.551,298.171,223.071,210.64,152.92,411.586,623.137,285.647,303.8613,1,0.093,731,2476.240342,9.76,11
PF3D7_0925800,0,151.535,169.937,166.669,32.29715,16.323,30.765,81.771,107.213,90.33,75.537,49.31,113.64,96.847,53.425,116.7377,1,-0.419,568,524.5178449,17.5,18
