 QueryID,TargetID,Identity,Coverage,QueryLength,MisMatch,Gaps,Evalue,BitScore,HomologyScore
PF3D7_0207300,sp|P07711|CATL1_HUMAN,23.346,257,679,141,11,3.08E-08,57,883.6409426
PF3D7_0207400,sp|P25774|CATS_HUMAN,23.729,236,946,143,8,4.25E-09,60.5,591.9708245
PF3D7_0207500,tr|A0A7P0TAQ0|A0A7P0TAQ0_HUMAN,24.561,228,1031,135,8,5.67E-09,59.3,543.1530553
PF3D7_0207600,sp|O60911|CATL2_HUMAN,26.222,225,997,134,7,2.18E-10,64.3,591.7703109
PF3D7_0207700,tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN,28.511,235,962,129,10,4.02E-12,69.7,696.4745322
PF3D7_0207800,tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN,26.695,236,930,133,9,8.11E-12,68.6,677.4215054
PF3D7_0207900,tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN,30.638,235,1105,124,11,7.08E-15,78.2,651.5773756
PF3D7_0208000,tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN,27.426,237,994,132,10,2.38E-12,70.1,653.9197183
PF3D7_0208100,sp|Q86YS7|C2CD5_HUMAN,31.02,245,1789,149,4,2.11E-27,122,424.8127446
PF3D7_0208200,sp|Q13601|KRR1_HUMAN,52.92,274,300,125,2,3.28E-98,294,4833.36
PF3D7_0208500,sp|O14561|ACPM_HUMAN,40.26,77,137,46,0,1.35E-12,62,2262.788321
PF3D7_0209000,sp|Q86X53|ERIC1_HUMAN,29.71,138,3135,96,1,0.000000229,57.4,130.7808612
PF3D7_0209100,tr|A0A590UJC7|A0A590UJC7_HUMAN,26.462,359,679,198,14,4.67E-14,77,1399.095434
PF3D7_0209200,tr|A0A994J4D9|A0A994J4D9_HUMAN,24.277,173,275,116,3,1.77E-10,61.2,1527.244
PF3D7_0209400,sp|Q9H993|ARMT1_HUMAN,27.729,458,450,278,14,1.67E-33,132,2822.196
PF3D7_0209600,sp|Q96N87|S6A18_HUMAN,31.858,113,1132,70,3,0.000000438,55.1,318.0171378
PF3D7_0209700,tr|H3BPZ9|H3BPZ9_HUMAN,48.889,45,568,22,1,3.65E-08,53.9,387.3248239
PF3D7_0209800,sp|Q13838|DX39B_HUMAN,58.278,453,457,160,4,0,533,5776.79081
PF3D7_0210000,sp|P60059|SC61G_HUMAN,56.14,57,81,25,0,2.14E-20,77.4,3950.592593
PF3D7_0210100,sp|P61513|RL37A_HUMAN,60.87,92,96,36,0,4.40E-36,118,5833.375
PF3D7_0210300,sp|Q6ZSM3|MOT12_HUMAN,25.309,162,457,113,4,5.78E-08,56.2,897.1680525
PF3D7_0210700,sp|P32856|STX2_HUMAN,23.485,264,314,180,6,9.33E-12,65.5,1974.535032
PF3D7_0211200,sp|P51148|RAB5C_HUMAN,41.379,232,235,94,4,5.06E-55,176,4085.075745
PF3D7_0211500,tr|A0A994J4W9|A0A994J4W9_HUMAN,36.719,128,1245,74,4,1.89E-13,72,377.5126104
PF3D7_0211600,sp|Q96F25|ALG14_HUMAN,31.892,185,209,115,3,4.81E-28,106,2822.976077
PF3D7_0211700,sp|Q9NYL2|M3K20_HUMAN,29.795,292,1233,173,9,9.60E-32,135,705.6074615
PF3D7_0211800,sp|Q96I59|SYNM_HUMAN,47.191,267,610,137,3,2.34E-75,249,2065.573279
PF3D7_0212000,sp|Q96A29|FUCT1_HUMAN,24.444,315,311,219,8,8.20E-13,69.3,2475.839228
PF3D7_0212200,sp|P52815|RM12_HUMAN,36.111,72,255,45,1,0.00000637,46.6,1019.604706
PF3D7_0212300,sp|P62495|ERF1_HUMAN,70.388,412,427,120,1,0,611,6791.535363
PF3D7_0212800,tr|A0A0G2JM16|A0A0G2JM16_HUMAN,24.286,210,1224,124,7,0.00000268,53.1,416.6715686
PF3D7_0213100,sp|Q9UDY4|DNJB4_HUMAN,40.351,342,328,178,8,2.18E-77,241,4207.329878
PF3D7_0213400,sp|P46734|MP2K3_HUMAN,33.607,244,343,133,8,1.79E-27,111,2390.702041
PF3D7_0213500,sp|P53041|PPP5_HUMAN,35.172,145,460,86,4,1.19E-11,67.8,1108.682609
PF3D7_0213700,sp|Q96C01|F136A_HUMAN,18.75,128,154,100,2,0.000000217,48.1,1558.441558
PF3D7_0214000,sp|P50990|TCPQ_HUMAN,33.706,537,542,351,4,3.25E-112,345,3339.505904
PF3D7_0214100,tr|D6REX3|D6REX3_HUMAN,21.976,587,1471,334,14,1.93E-41,168,876.9484704
PF3D7_0214200,sp|Q9BYD1|RM13_HUMAN,26.812,138,212,93,3,3.08E-12,63.5,1745.309434
PF3D7_0214300,sp|P18583|SON_HUMAN,14.881,168,2500,143,0,4.74E-10,66.6,100.00032
PF3D7_0214400,sp|Q96GA3|LTV1_HUMAN,34.091,132,619,79,4,9.22E-08,55.8,726.980937
PF3D7_0214600,sp|Q9H2G2|SLK_HUMAN,31.944,144,1714,95,3,4.65E-12,72.4,268.3743291
PF3D7_0214900,tr|E9PGC8|E9PGC8_HUMAN,25,252,950,165,7,2.31E-09,62.8,663.1578947
PF3D7_0215000,tr|A0A7P0T8L6|A0A7P0T8L6_HUMAN,26.419,458,885,301,10,9.12E-39,153,1367.220565
PF3D7_0215100,tr|K7EIM7|K7EIM7_HUMAN,27.132,258,298,160,10,5.11E-22,95.1,2349.012081
PF3D7_0215300,sp|O60488|ACSL4_HUMAN,24.169,662,888,388,23,7.42E-43,168,1801.788063
PF3D7_0215700,tr|C9J2Y9|C9J2Y9_HUMAN,51.014,888,1340,413,11,0,919,3380.629254
PF3D7_0215800,sp|O43913|ORC5_HUMAN,27.465,142,899,67,5,0.0000497,47.8,433.8186874
PF3D7_0215900,tr|H0Y6A5|H0Y6A5_HUMAN,32.157,255,260,150,5,4.36E-31,118,3153.859615
PF3D7_0216000,tr|A0A994J501|A0A994J501_HUMAN,42.049,566,1997,263,13,1.29E-123,418,1191.774362
PF3D7_0216300,sp|Q96AG4|LRC59_HUMAN,28.155,103,1381,64,2,0.00000551,51.2,209.9902245
PF3D7_0216400,tr|A0A8V8TLX8|A0A8V8TLX8_HUMAN,34.985,343,722,209,7,6.12E-62,216,1662.029778
PF3D7_0216600,sp|Q9BRV3|SWET1_HUMAN,23.832,214,686,154,4,3.74E-10,61.6,743.4472303
PF3D7_0216700,sp|Q9Y6V0|PCLO_HUMAN,29.655,145,1383,94,2,0.00000257,53.5,310.9164859
PF3D7_0216800,tr|H0Y393|H0Y393_HUMAN,26.724,116,1122,73,3,0.00000323,52.8,276.2909091
PF3D7_0217100,sp|P25705|ATPA_HUMAN,60.583,515,551,195,3,0,649,5662.476407
PF3D7_0217300,sp|Q96PC3|AP1S3_HUMAN,44.853,136,141,74,1,1.62E-36,123,4326.246809
PF3D7_0217500,sp|Q6P2M8|KCC1B_HUMAN,39.298,285,524,156,5,9.45E-62,207,2137.391221
PF3D7_0217700,sp|Q56P03|EAPP_HUMAN,30.345,145,234,85,5,7.00E-14,70.1,1880.352564
PF3D7_0217800,sp|P62854|RS26_HUMAN,68.421,95,107,30,0,5.14E-42,134,6074.761682
PF3D7_0218000,sp|P35249|RFC4_HUMAN,39.45,327,330,192,3,7.28E-82,253,3909.136364
PF3D7_0218400,sp|Q9H0S4|DDX47_HUMAN,50.86,407,562,198,2,1.49E-148,436,3683.27758
PF3D7_0218500,sp|P62316|SMD2_HUMAN,66.667,87,101,26,1,1.73E-33,112,5742.60297
PF3D7_0218600,sp|Q7Z6Z6|PLPL5_HUMAN,26.991,226,2380,141,9,2.45E-08,60.1,256.3010924
PF3D7_0218700,sp|Q13573|SNW1_HUMAN,32.704,477,482,245,18,1.40E-59,205,3236.474689
PF3D7_0219100,sp|Q8NBX0|SCPDL_HUMAN,22.759,435,426,307,11,7.97E-17,83.2,2323.982394
PF3D7_0219200,tr|E9PR30|E9PR30_HUMAN,67.241,58,58,16,1,7.45E-14,60.8,6724.1
PF3D7_0219400,sp|Q8N6R1|SERP2_HUMAN,41.935,62,101,36,0,1.30E-10,53.5,2574.227723
PF3D7_0219600,sp|P35251|RFC1_HUMAN,29.529,552,904,360,15,1.51E-72,261,1803.09823
PF3D7_0220000,sp|Q9HCI5|MAGE1_HUMAN,20.059,339,1558,235,5,0.000025,50.4,436.4570603
PF3D7_0220100,tr|F8WF76|F8WF76_HUMAN,57.143,70,997,27,1,1.54E-18,83.2,401.2046138
PF3D7_0301000,tr|A0A494BZW8|A0A494BZW8_HUMAN,25.051,487,819,328,10,2.46E-41,162,1489.601587
PF3D7_0301300,sp|Q8WTS1|ABHD5_HUMAN,24.686,239,437,145,9,1.48E-11,66.6,1350.10389
PF3D7_0302000,sp|O43660|PLRG1_HUMAN,52.134,328,600,151,1,1.58E-133,400,2849.992
PF3D7_0302100,sp|Q96SB4|SRPK1_HUMAN,45.055,182,1338,97,2,3.20E-47,181,612.8557549
PF3D7_0302600,sp|Q9NP58|ABCB6_HUMAN,34.615,130,1365,82,2,1.36E-19,96.3,329.6666667
PF3D7_0302700,sp|Q9NZ45|CISD1_HUMAN,60.606,33,152,12,1,0.00000015,48.1,1315.788158
PF3D7_0302900,tr|A0A7I2V488|A0A7I2V488_HUMAN,28.745,741,1254,432,15,3.09E-85,299,1698.568182
PF3D7_0303000,tr|A0A994J5X9|A0A994J5X9_HUMAN,40.101,793,783,405,16,3.93E-180,535,4061.314559
PF3D7_0303200,sp|Q92539|LPIN2_HUMAN,36.501,463,1162,226,12,1.41E-75,270,1454.3858
PF3D7_0303300,tr|U3KQB0|U3KQB0_HUMAN,52,100,153,31,2,2.30E-29,104,3398.69281
PF3D7_0303400,sp|Q9Y397|ZDHC9_HUMAN,37.931,116,616,61,3,2.19E-15,79.3,714.2850649
PF3D7_0303500,tr|A0A804HJS9|A0A804HJS9_HUMAN,20.213,282,2226,201,6,6.23E-12,72.4,256.067655
PF3D7_0303600,sp|Q6DKJ4|NXN_HUMAN,20.755,106,179,77,2,0.000000147,51.2,1229.067039
PF3D7_0303700,sp|P11182|ODB2_HUMAN,33.042,457,448,249,10,4.26E-65,217,3370.579018
PF3D7_0303800,sp|Q9Y4X5|ARI1_HUMAN,24.498,498,593,303,10,7.48E-41,157,2057.336256
PF3D7_0304200,sp|Q9H223|EHD4_HUMAN,47.937,509,533,260,4,4.31E-171,495,4577.848593
PF3D7_0304400,sp|Q969Q0|RL36L_HUMAN,65.714,105,104,33,2,3.48E-42,134,6634.586538
PF3D7_0304500,sp|Q86SX6|GLRX5_HUMAN,44.792,96,171,53,0,1.77E-27,101,2514.638596
PF3D7_0304600,sp|Q8TDT2|GP152_HUMAN,33.333,132,397,81,3,1.59E-11,66.6,1108.301259
PF3D7_0305000,sp|P43897|EFTS_HUMAN,22.957,257,390,159,11,0.0000431,46.2,1512.807436
PF3D7_0305500,tr|A0A8I5KWI7|A0A8I5KWI7_HUMAN,27.35,234,3933,158,4,7.87E-18,88.6,162.7231121
PF3D7_0305600,sp|P27695|APEX1_HUMAN,35.644,202,617,94,6,2.16E-24,105,1166.951053
PF3D7_0305700,sp|Q13404|UB2V1_HUMAN,49.645,141,142,70,1,5.81E-43,139,4929.538732
PF3D7_0305800,sp|Q96M32|KAD7_HUMAN,30.579,121,1114,81,2,4.83E-09,61.6,332.1417415
PF3D7_0306200,sp|O95433|AHSA1_HUMAN,27.612,134,349,89,5,0.000000388,52.4,1060.174212
PF3D7_0306300,sp|P35754|GLRX1_HUMAN,38.614,101,111,61,1,8.87E-20,78.2,3513.526126
PF3D7_0306400,sp|P43304|GPDM_HUMAN,36.026,619,653,307,11,2.92E-134,411,3415.022052
PF3D7_0306800,sp|P78371|TCPB_HUMAN,57.386,528,533,220,2,0,600,5684.766979
PF3D7_0306900,sp|P62266|RS23_HUMAN,78.873,142,145,30,0,3.88E-79,231,7724.114483
PF3D7_0307100,sp|P25398|RS12_HUMAN,47.414,116,141,60,1,4.57E-33,114,3900.726241
PF3D7_0307200,sp|P18124|RL7_HUMAN,46.696,227,257,115,2,6.55E-62,196,4124.510506
PF3D7_0307300,sp|Q15691|MARE1_HUMAN,46.721,122,510,60,2,8.99E-36,135,1117.639608
PF3D7_0307400,sp|Q16740|CLPP_HUMAN,44.767,172,370,94,1,1.87E-44,155,2081.060541
PF3D7_0307700,sp|Q9BYE2|TMPSD_HUMAN,32.941,85,1826,57,0,3.65E-08,59.3,153.3398138
PF3D7_0307900,sp|Q5TCS8|KAD9_HUMAN,20.347,634,3724,404,21,3.46E-13,77.8,346.4016649
PF3D7_0308000,sp|P49005|DPOD2_HUMAN,32.713,376,498,222,8,4.10E-49,176,2469.897189
PF3D7_0308200,sp|Q99832|TCPH_HUMAN,57.306,527,539,222,2,0,629,5603.017069
PF3D7_0308500,tr|G3V438|G3V438_HUMAN,30.303,132,140,83,3,1.75E-16,73.2,2857.14
PF3D7_0308600,sp|Q9UMS4|PRP19_HUMAN,33.095,559,532,291,14,6.46E-100,311,3477.463346
PF3D7_0308900,sp|O75533|SF3B1_HUMAN,68.892,839,1386,260,1,0,1204,4170.302165
PF3D7_0309000,sp|Q9UNI6|DUS12_HUMAN,28.736,261,575,160,6,4.65E-28,116,1304.364522
PF3D7_0309200,sp|Q9UQB9|AURKC_HUMAN,38.926,298,1650,161,6,1.76E-60,211,703.0271515
PF3D7_0309300,sp|Q8N4J0|CARME_HUMAN,43.254,252,955,135,6,2.72E-53,192,1141.362094
PF3D7_0309500,sp|P08243|ASNS_HUMAN,38.087,575,610,278,17,1.78E-95,304,3590.168033
PF3D7_0309600,sp|P05387|RLA2_HUMAN,41.538,65,112,38,0,1.95E-13,62.4,2410.6875
PF3D7_0309700,tr|J3KPI1|J3KPI1_HUMAN,33.981,103,608,64,3,4.5E-09,60.5,575.6649671
PF3D7_0309800,tr|J3QR07|J3QR07_HUMAN,41.549,142,280,73,3,1.30E-25,107,2107.127857
PF3D7_0310100,sp|Q16566|KCC4_HUMAN,42.701,274,562,150,6,2.73E-65,221,2081.863701
PF3D7_0310200,sp|Q9HCD5|NCOA5_HUMAN,24.138,58,4550,44,0,0.0000281,51.6,30.76931868
PF3D7_0310400,sp|Q6Y288|B3GLT_HUMAN,29.457,129,1294,80,4,1.69E-08,59.7,293.6594281
PF3D7_0310500,sp|Q6P158|DHX57_HUMAN,24.924,654,2269,362,22,6.96E-38,157,718.3911855
PF3D7_0310600,sp|Q9UBQ5|EIF3K_HUMAN,21.176,170,235,123,3,1.37E-11,62.8,1531.880851
PF3D7_0310700,sp|Q9Y296|TPPC4_HUMAN,40,115,145,56,3,1.72E-23,92,3172.413793
PF3D7_0311100,tr|A0A994J7H1|A0A994J7H1_HUMAN,35.542,166,600,96,2,1.60E-22,103,983.3286667
PF3D7_0311200,tr|A0A140TA40|A0A140TA40_HUMAN,25.625,160,1367,110,3,2.22E-10,66.6,299.9268471
PF3D7_0311300,sp|Q8TCG2|P4K2B_HUMAN,26.433,314,953,171,15,3.66E-10,64.7,870.9299056
PF3D7_0311400,sp|Q9BXA7|TSSK1_HUMAN,30.855,269,2515,145,13,1.38E-17,88.2,330.0196819
PF3D7_0311700,sp|P14091|CATE_HUMAN,32.951,349,432,204,9,9.71E-55,187,2662.013657
PF3D7_0312100,sp|Q9Y225|RNF24_HUMAN,26.772,127,836,77,6,0.000000506,51.2,406.7038278
PF3D7_0312200,tr|D6RFW1|D6RFW1_HUMAN,29.457,129,1236,73,3,1.61E-09,60.1,307.4395631
PF3D7_0312300,tr|R4GMR5|R4GMR5_HUMAN,35.019,257,304,153,4,2.00E-33,124,2960.487829
PF3D7_0312400,sp|P49841|GSK3B_HUMAN,54.624,346,440,150,3,5.87E-135,395,4295.432727
PF3D7_0312800,tr|E5RIT6|E5RIT6_HUMAN,63.415,123,126,44,1,1.16E-49,155,6190.511905
PF3D7_0313100,sp|Q9UBV2|SE1L1_HUMAN,26.126,444,807,289,13,1.01E-25,114,1437.415613
PF3D7_0314400,sp|O00743|PPP6_HUMAN,60.714,308,308,118,2,5.38E-141,400,6071.4
PF3D7_0314700,tr|E5RI87|E5RI87_HUMAN,45.833,48,1181,26,0,1.18E-10,66.2,186.2814564
PF3D7_0315100,tr|C9JEL3|C9JEL3_HUMAN,24.118,170,227,103,4,2.85E-13,67.4,1806.193833
PF3D7_0315200,sp|A8TX70|CO6A5_HUMAN,19.951,411,2114,281,13,5.40E-16,86.3,387.8836802
PF3D7_0315500,sp|Q9HD33|RM47_HUMAN,36.842,95,232,54,2,5.12E-08,53.1,1508.616379
PF3D7_0315800,tr|A0A8V8TMY5|A0A8V8TMY5_HUMAN,22.222,126,365,90,5,0.0000254,47,767.1156164
PF3D7_0316100,sp|Q9P0M9|RM27_HUMAN,30.189,106,298,51,3,0.0000443,43.9,1073.836913
PF3D7_0316300,sp|Q15181|IPYR_HUMAN,39.614,207,380,110,3,9.58E-46,159,2157.920526
PF3D7_0316500,sp|Q9Y5S2|MRCKB_HUMAN,20.635,315,461,211,7,0.0000249,48.1,1409.983731
PF3D7_0316700,sp|Q96HR9|REEP6_HUMAN,40.252,159,221,94,1,2.43E-40,138,2895.958371
PF3D7_0316800,sp|P62244|RS15A_HUMAN,73.077,130,130,35,0,9.26E-70,206,7307.7
PF3D7_0316900,tr|K7EPJ5|K7EPJ5_HUMAN,40,50,600,28,1,2.37E-08,58.2,333.3333333
PF3D7_0317000,sp|P25788|PSA3_HUMAN,36.179,246,252,148,3,9.41E-57,182,3531.759524
PF3D7_0317200,tr|A0A0D9SER5|A0A0D9SER5_HUMAN,29.528,254,1553,144,8,1.21E-23,109,482.9434643
PF3D7_0317300,sp|O75154|RFIP3_HUMAN,22.275,211,3394,148,5,0.00004,50.8,138.4804066
PF3D7_0317500,tr|A0A7I2V3V3|A0A7I2V3V3_HUMAN,44.875,361,1619,169,8,1.85E-79,274,1000.609944
PF3D7_0317600,sp|P62280|RS11_HUMAN,64.375,160,161,49,4,9.88E-67,201,6397.515528
PF3D7_0317700,tr|A0A7P0T965|A0A7P0T965_HUMAN,20.62,548,2870,314,21,3.22E-14,80.5,393.7198606
PF3D7_0317800,sp|O00233|PSMD9_HUMAN,26.126,222,225,146,6,5.14E-28,106,2577.765333
PF3D7_0318100,sp|Q9UJZ1|STML2_HUMAN,48.227,282,374,135,1,1.43E-92,282,3636.36738
PF3D7_0318200,tr|A0AAG2TJB2|A0AAG2TJB2_HUMAN,50.573,611,2457,272,7,0,612,1257.63545
PF3D7_0318600,sp|Q5TA45|INT11_HUMAN,43.99,416,1017,201,4,6.59E-122,386,1799.394297
