LD4,LD5,LD6,YR,ET,MT,LT,ES,S,LS,M,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,HomologyScore,N_Pockets,BestPocket_Score,BestPocket_Probability,TargetID,Gene,UniProtID
,,,1.396,0.548,0,0,0.154,0,0,0,0,0,0,0,0.795,-2.494,,0,3,11.16,0.598,,PF3D7_0101200,O97474
,,,1.644,102.156,77.515,3.749,3.534,3.348,3.546,3.1437,7.321,5.756,1.085,0,1,-1.492,,0,2,7.27,0.379,,PF3D7_0101300,B9ZSH7
,,,,,,,,,,,,,,,0.14,-3.052,,0,,,,,PF3D7_0101400,
,,,,,,,,,,,,,,,0.963,-2.374,,0,,,,,PF3D7_0101500,
,,,3.51,16.089,13.394,1.485,6.015,4.129,6.788,11.95465,2.859,0.522,0,0,0.199,-2.872,,0,0,0,0,,PF3D7_0101600,Q8I2C1
,,,,,,,,,,,,,,,0.895,-2.228,,0,,,,,PF3D7_0101700,
,,,0.084,0.265,1.286,0,0.237,0.459,0.687,3.5881,0,0,0,0,0.513,-2.311,,0,1,3.29,0.115,,PF3D7_0101800,Q8I2C0
,,,0.862,0.354,0,0.261,0,0.798,1.319,10.97565,0,2.326,6.657,0,0.994,-2.047,,0,0,0,0,,PF3D7_0101900,Q8I2B9
,,,,,,,,,,,,,,,0.693,-2.364,,0,,,,,PF3D7_0102000,
,,,,,,,,,,,,,,,0.929,-2.129,,0,,,,,PF3D7_0102100,
7.526,0.938,0.465,2023.344,191.334,95.102,90.738,127.355,276.73,1118.215,12908.05705,20.057,2.864,0.403,0.6344,1,-2.166,116,239.6303226,8,4.9,0.22,tr|Q5T657|Q5T657_HUMAN,PF3D7_0102200,Q8I0U6
,,,25.983,56.526,803.046,1103.965,516.373,324.328,281.224,141.47705,0.622,1.212,1.508,4.4083,0.932,-1.688,44,0,1,4.97,0.225,,PF3D7_0102300,Q8I2B6
0,4.01,25.043,,,,,,,,,,,,,0.147,-2.741,,0,,,,,PF3D7_0102400,
0,1.098,3.097,212.361,20.586,4.605,21.412,136.957,690.48,1540.898,1409.82515,22.126,4.761,15.404,33.2308,0.999,-2.102,1101,0,21,8.14,0.433,,PF3D7_0102500,Q8I2B4
0,0.268,1.424,176.751,1274.457,170.284,68.076,64.029,72.425,63.686,132.1475,33.53,28.472,13.074,10.2686,1,-0.921,296,428.5714286,8,16.42,0.778,tr|C9JME8|C9JME8_HUMAN,PF3D7_0102600,B9ZSH8
0,7.799,5.792,286.897,50.01,26.133,31.949,109.456,114.776,345.029,799.9901,32.683,48.886,27.934,251.0871,0.142,-2.851,123,0,4,5.13,0.236,,PF3D7_0102700,Q8I2B3
20.147,31.775,44.173,7.246,5.601,38.018,54.983,31.791,21.927,21.37,19.3093,17.608,65.159,13.565,0,0.99,-0.096,253,0,9,4.97,0.225,,PF3D7_0102800,Q8I2B2
158.526,207.541,168.319,848.06,1274.822,1306.408,830.834,532.81,389.244,297.716,207.35345,71.774,58.623,67.125,7.0422,0.119,-2.954,217,3450.479233,6,14.98,0.741,sp|P14868|SYDC_HUMAN,PF3D7_0102900,Q8I2B1
9.085,23.628,26.6,5.006,2.917,17.801,69.457,117.632,66.703,70.156,45.9104,105.557,95.944,47.04,80.2557,0.123,-3.123,110,2239.413127,3,5.96,0.293,tr|A0A087WY55|A0A087WY55_HUMAN,PF3D7_0103000,B9ZSH9
7.572,40.443,45.552,6.353,13.557,35.219,79.112,103.281,92.014,61.104,35.91495,59.501,77.029,91.525,31.9729,0.165,-2.812,1146,250.9216646,26,21.5,0.871,sp|Q9UID3|VPS51_HUMAN,PF3D7_0103100,Q8I2A9
639.669,1146.097,1350.044,282.422,642.03,1006.993,903.869,788.576,703.828,500.093,358.1388,318.928,313.617,368.373,269.2594,0.12,-3.064,117,0,9,53.82,0.983,,PF3D7_0103200,Q8I2A8
108.506,108.558,90.298,284.853,266.238,230.075,229.048,262.935,239.879,262.961,247.81375,147.509,128.082,99.405,98.4938,0.12,-2.961,898,0,11,10.35,0.556,,PF3D7_0103300,B9ZSI0
30.338,44.238,47.244,72.033,176.052,392.993,403.931,534.873,697.352,723.855,725.61445,301.212,353.771,503.079,374.9712,1,-0.537,1080,481.4814815,18,21.74,0.874,sp|Q9UPW5|CBPC1_HUMAN,PF3D7_0103400,Q8I2A6
6.589,26.911,24.442,4.203,5.185,33.964,42.349,39.253,30.084,31.33,23.0659,52.532,59.951,20.888,109.2624,1,-0.989,462,0,43,29.73,0.932,,PF3D7_0103500,B9ZSI1
7.553,17.453,18.819,16.887,62.266,126.727,130.143,208.905,245.958,131.622,101.94095,159.274,197.106,531.306,173.6957,1,-1.61,3693,169.4928944,14,45.34,0.973,sp|Q9Y2R4|DDX52_HUMAN,PF3D7_0103600,Q8I2A4
34.027,3.702,9.05,77.963,86.844,101.103,107.079,99.586,71.262,61.071,61.3431,37.437,22.175,68.79,0,1,-2.284,376,448.6018692,11,64.82,0.99,tr|H7BYY4|H7BYY4_HUMAN,PF3D7_0103700,Q8I2A3
0,3.074,9.444,21.492,12.337,8.533,61.316,209.37,176.773,138.336,114.74875,1253.672,1586.523,1562.487,546.7129,1,0.633,30,5999.970526,2,17.42,0.802,sp|P61163|ACTZ_HUMAN,PF3D7_0103800,Q8I2A2
53.03,67.319,136.152,11.978,36.633,118.646,156.61,138.394,114.536,78.217,50.0161,136.437,175.487,188.163,70.9692,0.128,-3.12,188,0,4,3.23,0.111,,PF3D7_0103900,Q8I2A1
64.771,18.05,62.875,3.763,1.439,3,16.524,42.022,26.53,42.246,39.4448,716.932,894.982,998.968,583.015,0.989,-0.714,50,1472.411043,2,2.1,0.048,sp|Q8TE57|ATS16_HUMAN,PF3D7_0104000,Q8I2A0
11.666,10.073,21.6,5.045,3.268,4.997,28.537,45.313,55.59,57.283,43.5173,21.283,30.165,67.829,4.5323,0.119,-3.035,4631,0,14,25.89,0.909,,PF3D7_0104100,Q8I299
382.251,368.074,300.205,111.985,100.623,168.562,153.793,203.581,362.12,799.532,802.5146,66.654,36.996,27.04,77.4628,0.28,-3.379,245,0,5,45.63,0.973,,PF3D7_0104200,Q8I298
45.444,51.035,44.467,329.725,152.727,91.384,84.63,143.909,252.094,442.458,1128.108,65.096,49.821,26.125,57.7563,0.292,-2.606,1345,282.9352386,,,,sp|Q9P275|UBP36_HUMAN,PF3D7_0104300,
118.95,223.292,364.37,27.651,53.563,144.451,210.913,232.81,185.514,144.612,122.78955,213.877,325.038,341.277,58.0689,0.993,-2.596,132,0,10,14.22,0.715,,PF3D7_0104400,Q8I295
808.413,1200.639,892.663,346.391,496.803,611.688,405.354,246.099,159.256,122.832,82.7231,56.225,53.116,35.604,0,0.998,-0.62,48,0,4,35.09,0.952,,PF3D7_0104500,Q8I294
21.611,19.022,21.935,10.063,19.018,24.073,16.759,22.913,14.728,13.673,7.93585,11.567,9.937,22.635,25.7027,0.12,-3.09,620,0,16,13.04,0.672,,PF3D7_0104600,B9ZSI2
0,9.082,10.041,0.479,0.27,2.325,4.702,17.621,11.609,16.59,8.12765,76.639,57,39.527,78.767,0.999,-2.672,291,0,8,61.62,0.988,,PF3D7_0104700,Q8I292
17.569,22.707,37.487,23.244,8.419,42.668,90.007,123.022,113.721,163.143,147.04665,693.825,1085.522,1914.31,683.1049,1,0.781,133,0,6,36.87,0.956,,PF3D7_0104800,Q8I291
109.232,130.846,219.69,,,,,,,,,,,,,,,,0,,,,,PF3D7_0104900,
113.145,68.569,118.679,,,,,,,,,,,,,,,10,0,,,,,PF3D7_0105000,
135.665,709.141,1039.536,1.755,4.521,42.509,65.416,58.638,29.378,30.987,15.18495,35.924,33.553,15.047,0,0.12,-3.051,48,0,0,0,0,,PF3D7_0105100,Q8I290
457.026,266.506,295.332,12.675,127.219,234.32,156.836,89.089,110.687,87.192,52.11975,139.301,91.071,45.757,102.0779,0.8,-2.879,153,0,5,8.45,0.451,,PF3D7_0105200,Q8I289
30.444,104.377,225.347,37.372,5.946,35.196,284.263,739.063,750.4,865.344,556.5405,271.917,172.717,93.717,288.2427,0.141,-3.448,51,3456.761111,0,0,0,tr|B7Z385|B7Z385_HUMAN,PF3D7_0105300,Q8I288
0,3.247,6.946,28.021,5.699,8.217,67.345,346.637,432.642,640.19,371.92985,115.126,68.942,70.742,1.3818,0.929,-2.495,49,0,0,0,0,,PF3D7_0105400,Q8I287
3.502,56.018,68.571,1.887,6.878,38.126,42.966,46.676,35.968,34.884,34.21845,56.214,68.959,71.809,105.3449,0.161,-2.717,111,0,0,0,0,,PF3D7_0105500,Q8I286
43.994,48.2,58.55,28.838,40.05,44.706,42.828,41.688,37.939,30.833,28.08205,91.542,99.731,40.324,59.177,0.12,-3.042,532,0,21,27.55,0.921,,PF3D7_0105600,Q8I285
290.842,151.573,177.4,2.252,2.044,18.638,37.399,45.961,47.824,30.914,21.5119,363.732,329.163,163.294,402.209,1,-1.851,1628,0,,,,,PF3D7_0105700,
131.85,168.192,205.174,22.623,9.71,115.705,269.061,402.638,451.987,410.006,317.6728,149.995,141.897,72.961,74.406,0.184,-2.713,268,0,4,9.65,0.519,,PF3D7_0105800,Q8I283
153.794,106.241,134.542,2.582,2.989,24.507,44.365,53.824,48.489,43.452,34.4964,59.999,51.083,74.021,33.4887,0.886,-2.507,181,1138.403571,7,26.87,0.917,sp|Q14191|WRN_HUMAN,PF3D7_0105900,Q8I282
14.13,37.236,53.876,16.206,8.358,44.824,144.309,264.961,281.267,301.802,189.1171,89.171,81.316,154.385,95.7946,0.188,-2.706,314,0,9,13.95,0.705,,PF3D7_0106000,B9ZSI3
147.046,155.179,268.877,117.668,207.215,217.202,249.442,218.926,190.928,188.683,136.9021,109.109,98.868,67.657,114.4789,0.122,-2.999,37,2819.850653,1,1.35,0.016,sp|P21283|VATC1_HUMAN,PF3D7_0106100,Q8I280
1.535,26.536,86.132,6.317,0.911,6.41,32.429,86.066,59.676,66.337,43.3557,37.434,39.979,41.584,225.9662,1,0.391,107,0,5,16.89,0.79,,PF3D7_0106200,B9ZSI4
218.391,264.434,195.068,441.098,379.825,409.759,652.731,651.765,605.521,442.559,382.37965,337.282,257.02,117.516,156.617,0.131,-2.942,440,2190.538436,25,19.25,0.837,sp|O14983|AT2A1_HUMAN,PF3D7_0106300,Q76NN8
646.756,479.597,319.306,588.752,706.823,541.408,192.749,119.624,99.164,70.768,82.1299,73.131,108.662,131.279,5.4406,0.154,0,68,1474.338462,0,0,0,sp|Q969E8|TSR2_HUMAN,PF3D7_0106400,Q8I278
14.785,36.781,61.01,4.269,1.131,16.421,63.582,66.864,61.96,40.627,26.66505,67.886,95.179,44.394,236.564,0.464,-2.487,1179,0,6,6.21,0.31,,PF3D7_0106500,Q8I277
138.152,16.668,3.908,3.894,0.487,0.845,9.161,63.907,54.612,71.994,83.6156,2.133,2.108,2.37,0,0.964,-2.138,137,0,0,0,0,,PF3D7_0106600,Q8I276
89.805,173.137,123.442,241.977,283.221,235.08,193.14,222.245,209.997,183.366,173.5561,492.097,448.321,280.986,247.9225,0.137,-2.771,629,864.7224547,6,13.86,0.702,sp|Q14692|BMS1_HUMAN,PF3D7_0106700,Q8I275
10.578,40.727,74.893,6.415,17.547,68.365,137.692,125.644,101.076,75.992,41.42565,169.692,220.344,141.142,118.9448,0.264,-2.504,26,5046.698131,1,6.07,0.3,sp|P20339|RAB5A_HUMAN,PF3D7_0106800,Q8I274
79.642,42.176,56.245,4.437,4.766,35.89,71.139,88.188,73.882,55.58,31.6222,17.709,15.049,21.062,0.6471,0.124,-2.887,370,0,9,6.02,0.296,,PF3D7_0106900,Q8I273
239.827,209.704,302.901,16.41,14.599,172.455,492.965,542.707,353.047,221.314,157.5771,336.263,273.361,137.231,359.3931,0.132,-2.849,12,7202.4,2,8.39,0.448,sp|P41208|CETN2_HUMAN,PF3D7_0107000,Q8I272
109.089,55.771,53.233,1.606,6.444,34.13,35.309,37.283,16.563,18.081,10.6603,57.299,89.618,53.076,79.3566,0.199,-3.365,185,0,4,12.09,0.639,,PF3D7_0107100,Q8I271
10.387,69.405,68.589,2.439,8.908,68.138,80.304,78.503,43.088,34.987,19.4871,23.292,62.212,38.482,251.6197,1,0.564,148,2551.943027,2,24.34,0.898,sp|Q6L8Q7|PDE12_HUMAN,PF3D7_0107200,B9ZSI5
211.892,124.53,68.268,3.496,3.079,13.351,17.359,47.999,47.944,51.703,48.7886,62.887,88.583,173.989,67.9666,1,-2.108,144,0,7,2.85,0.09,,PF3D7_0107300,Q8I269
152.728,153.769,232.287,23.745,13.178,35.34,81.538,72.075,50.838,53.759,44.5353,98.137,82.872,72.039,15.4916,1,-2.433,33,0,0,0,0,,PF3D7_0107400,Q8I267
112.657,140.82,111.184,759.334,591.753,422.89,213.217,140.872,184.826,509.333,1029.31235,168.825,120.742,94.031,210.4321,0.261,-2.596,390,387.75,26,63.82,0.989,tr|K7ERM4|K7ERM4_HUMAN,PF3D7_0107500,Q8I266
94.648,25.016,13.259,0.911,0.371,0.872,1.776,4.198,7.757,7.903,10.577,15.055,7.703,7.074,39.554,1,-2.835,943,219.4374922,9,3.83,0.149,tr|A0A7P0TAL9|A0A7P0TAL9_HUMAN,PF3D7_0107600,Q8I265
0,5.659,7.153,3.392,6.108,38.561,37.035,34.868,22.167,25.046,10.55825,68.636,75.703,82.686,116.9414,0.479,-1.084,122,0,11,3.66,0.138,,PF3D7_0107700,B9ZSI6
59.647,68.249,104.202,9.038,48.309,115.542,134.819,132.627,129.058,73.949,44.89685,22.866,16.761,18.083,9.0732,1,-0.289,896,786.7009732,8,6.34,0.319,tr|F8W7U8|F8W7U8_HUMAN,PF3D7_0107800,A0A143ZUM0
55.9,123.525,176.683,22.114,123.333,162.735,139.094,79.067,65.135,38.323,27.7151,114.506,118.395,59.207,220.0761,0.124,-3.186,96,0,3,6.41,0.323,,PF3D7_0107900,Q8I262
433.429,282.129,288.541,195.315,285.559,488.049,830.147,843.084,611.496,410.459,263.82845,341.331,268.57,211.27,56.5755,0.123,-3.212,19,4357.750459,1,1.62,0.026,sp|P49720|PSB3_HUMAN,PF3D7_0108000,Q8I261
16.468,30.812,45.042,2.493,6.158,23.838,35.741,44.369,30.348,24.581,19.56935,28.125,49.128,100.153,7.6884,0.133,-2.879,213,0,9,5.91,0.289,,PF3D7_0108100,Q8I260
87.696,133.593,144.725,816.262,914.66,626.475,454.433,416.93,563.866,502.647,876.44875,441.727,438.169,228.377,491.3711,1,-2.611,972,112.5632148,14,32.35,0.943,sp|Q9H2G4|TSYL2_HUMAN,PF3D7_0108300,Q8I259
5.022,32.667,49.497,63.543,54.852,57.261,51.743,55.811,35.404,60.254,198.36815,97.659,113.279,113.179,46.6887,1,-2.123,74,1727.282424,9,34.36,0.95,sp|Q8TBP6|S2540_HUMAN,PF3D7_0108400,B9ZSI7
0.363,4.574,1.706,2579.396,567.14,108.207,65.328,112.701,222.551,1945.571,6240.30895,278.302,344.885,627.175,150.7165,1,0,269,1508.363128,0,0,0,sp|P26436|ASPX_HUMAN,PF3D7_0108500,Q8I257
124.352,105.113,81.991,3135.133,697.556,165.904,143.808,204.633,308.821,2400,7614.88665,323.14,387.274,528.373,208.8371,0.12,-3.19,165,0,1,2.25,0.056,,PF3D7_0108600,Q8I256
60.795,72.382,90.237,79.32,114.719,90.356,160.45,172.243,165.661,97.537,86.07225,169.884,149.904,165.211,197.0931,1,0.113,482,0,3,2.9,0.093,,PF3D7_0108700,Q8I255
7.875,40.9,42.57,20.194,32.543,52.107,83.344,95.433,71.1,68.156,55.46355,96.83,195.037,472.402,242.3303,0.143,-3.102,63,0,6,8.08,0.43,,PF3D7_0108800,Q8I254
6.045,2.367,0.148,,,,,,,,,,,,,,,5,0,,,,,PF3D7_0108900,
115.995,16.196,6.546,111.372,14.212,7.967,35.851,219.051,436.183,1257.138,992.06125,554.636,665.228,239.459,378.7498,0.122,-3.121,25,0,0,0,0,,PF3D7_0109000,Q8I253
0,2.462,5.865,19.748,1.973,2.029,9.451,53.939,75.246,216.434,278.96785,417.948,555.115,479.739,134.7556,1,-2.243,221,301.2603499,9,3.53,0.13,tr|H3BTI0|H3BTI0_HUMAN,PF3D7_0109100,Q8I252
88.861,327.726,331.163,15.455,54.081,101.758,123.351,121.039,91.464,61.291,38.9197,305.27,222.855,158.239,46.1593,0.125,-3.001,39,2672.443103,1,10.3,0.553,sp|O43809|CPSF5_HUMAN,PF3D7_0109200,Q8I0V9
115.032,352.651,360.802,4.095,10.576,37.473,51.402,69.192,33.545,44.659,24.54545,113.74,90.649,108.047,17.9436,0.168,-2.779,55,2608.675155,9,26.26,0.912,sp|Q9H5J4|ELOV6_HUMAN,PF3D7_0109300,Q8I251
313.176,399.935,537.556,19.4,89.771,270.1,215.49,164.571,135.219,117.793,98.00485,1188.747,1208.111,356.398,484.3145,0.24,-3.364,72,1445.795181,0,0,0,sp|O75347|TBCA_HUMAN,PF3D7_0109400,Q8I250
36.051,84.002,83.158,110.475,164.968,123.487,125.465,103.099,97.016,70.025,61.8724,259.677,285.906,567.655,194.8221,0.659,-2.369,19,4516.149677,3,12.64,0.657,sp|P61599|NAA20_HUMAN,PF3D7_0109500,Q8I249
81.062,382.257,269.768,66.663,48.291,110.72,70.256,44.293,43.517,33.12,40.21615,65.491,70.878,89.038,0,0.247,-3.269,45,1266.664667,0,0,0,tr|H3BPY5|H3BPY5_HUMAN,PF3D7_0109600,Q8I248
165.353,141.466,127.182,204.508,139.015,69.07,57.585,55.532,69.405,39.969,64.14785,2.342,3.345,5.232,0,0.157,-2.586,37,2896.131148,2,2.42,0.065,sp|Q96EU6|RRP36_HUMAN,PF3D7_0109700,Q8I247
170.371,152.742,206.717,180.505,222.719,148.991,193.077,179.216,183.752,90.145,101.66565,80.69,84.618,70.638,86.7132,0.143,-3.147,190,3652.173913,6,7.78,0.412,sp|Q9Y285|SYFA_HUMAN,PF3D7_0109800,Q8I246
57.577,332.139,482.129,12.3,12.399,17.699,48.527,63.406,41.858,36.633,25.3627,544.107,549.671,654.845,131.1784,,,263,1107.386913,25,61.68,0.988,sp|Q9UPQ8|DOLK_HUMAN,PF3D7_0109850,B9ZSI8
115.22,46.696,56.691,13.038,35.973,90.364,172.746,169.365,139.466,94.089,64.11135,1168.342,1471.977,1665.318,522.3555,,,46,0,2,1.32,0.015,,PF3D7_0109950,A0A143ZXB9
255.243,208.64,278.254,50.367,67.1,136.538,206.001,183.539,165.83,99.594,109.3128,8172.091,4954.386,4196.215,1175.6735,1,-1.016,107,0,2,2.22,0.054,,PF3D7_0110000,Q8I244
29.548,49.812,57.072,59.2,55.409,74.524,79.739,84.615,62.665,45.367,31.36725,4125.34,3307.847,3357.214,786.8798,1,-2.697,178,513.9169165,6,9.87,0.53,tr|C9J8T0|C9J8T0_HUMAN,PF3D7_0110100,Q8I243
121.632,81.294,98.999,30.523,66.55,68.107,81.914,105.853,51.811,54.157,26.1395,35.206,45.919,45.953,64.8294,0.208,-2.71,27,2587.434965,1,24.67,0.9,tr|H3BQQ4|H3BQQ4_HUMAN,PF3D7_0110200,Q8I242
178.957,181.719,244.959,236.833,260.978,256.694,279.989,302.263,167.448,142.686,113.93425,347.761,394.054,310.214,63.8249,0.486,-2.733,54,1726.903213,0,0,0,sp|P36954|RPB9_HUMAN,PF3D7_0110400,Q8I241
84.9,87.259,118.935,19.919,65.363,79.094,83.287,59.306,64.182,44.102,39.67675,183.068,167.897,79.238,188.5191,1,-2.257,377,0,7,16.91,0.791,,PF3D7_0110500,Q8I240
55.383,64.316,76.809,200.862,122.952,106.083,119.864,169.006,212.808,220.819,320.45325,180.801,221.844,296.398,252.284,0.2,-2.765,343,608.1810526,19,17.21,0.798,tr|A6PW57|A6PW57_HUMAN,PF3D7_0110600,Q8I239
83.458,243.689,196.222,37.358,47.205,367.737,300.288,230.428,216.714,176.188,141.30475,245.89,190.124,64.714,352.9861,0.157,-3.013,78,2982.069955,2,11.82,0.627,sp|Q09028|RBBP4_HUMAN,PF3D7_0110700,Q8I238
12.73,47.641,49.387,208.234,285.735,303.863,212.172,184.433,228.203,299.404,248.6023,906.674,609.277,392.661,789.8,0.199,-3.59,28,1989.06703,0,0,0,sp|Q00403|TF2B_HUMAN,PF3D7_0110800,Q8I237
339.502,146.462,233.797,72.18,128.274,142.335,70.121,51.506,34.832,28.547,22.2364,360.935,226.4,132.737,748.6691,0.12,-3.014,62,3279.522581,1,6.89,0.354,sp|Q9Y3D8|KAD6_HUMAN,PF3D7_0110900,Q8I236
4.611,29.281,40.796,6.801,4.021,27.725,80.839,105.687,117.979,107.709,74.30645,358.969,394.011,142.716,2845.1978,1,-2.224,742,1207.925841,8,13.11,0.674,sp|Q2TAC6|KIF19_HUMAN,PF3D7_0111000,Q8I235
31.079,63.462,83.709,1.633,3.094,29.845,39.74,42.888,31.316,26.498,12.79805,35.733,33.336,15.831,183.678,0.339,0,17,0,0,0,0,,PF3D7_0111200,Q8I234
141.812,169.581,189.822,6.894,26.516,135.913,223.068,156.441,158.241,69.512,51.4944,36.664,48.679,41.334,87.7829,0.812,-2.874,540,1011.150728,16,20.36,0.854,tr|A0A0D9SF58|A0A0D9SF58_HUMAN,PF3D7_0111300,Q8I233
126.671,103.346,143.009,5.701,16.676,81.702,135.169,173.094,152.27,89.329,55.86205,48.426,31.512,39.947,16.7789,0.126,-3.209,197,0,1,2.1,0.048,,PF3D7_0111400,B9ZSI9
21.459,42.406,56.076,22.706,32.514,179.056,258.324,284.878,283.988,359.114,196.5885,49.613,42.379,27.011,131.0396,0.12,-3.031,92,1239.902156,4,22.24,0.879,sp|P30085|KCY_HUMAN,PF3D7_0111500,Q8I231
58.338,35.203,49.372,9.876,39.961,44.96,38.505,17.279,10.836,12.24,10.02265,17.216,25.726,20.225,0,0.435,-3.525,89,0,2,8.4,0.448,,PF3D7_0111600,Q8I230
67.202,74.425,91.845,0.076,0.919,0.765,0.728,0,0.727,0.252,0.46585,2.109,0.581,2.208,0,0.916,-3.898,22,0,3,2.63,0.076,,PF3D7_0111700,Q8I229
39.81,91.719,106.3,30.193,121.222,168.037,152.257,143.435,115.222,81.84,59.7846,72.251,58.655,67.945,70.6966,1,0.607,172,564.5062903,3,3.29,0.115,tr|C9JEL3|C9JEL3_HUMAN,PF3D7_0111800,B9ZSJ0
1.775,30.603,94.457,76.288,163.812,330.913,469.688,402.692,278.812,214.294,150.3497,147.082,106.878,68.471,213.5817,0.121,0,9,2345.649383,3,2.97,0.097,sp|O43715|TRIA1_HUMAN,PF3D7_0111900,Q8I227
111.975,218.051,210.154,37.989,60.138,71.249,87.05,50.117,35.046,24.429,16.34845,30.605,26.831,19.157,85.6875,0.121,-3.108,39,1946.309396,4,17.79,0.808,tr|A0A0D9SGD3|A0A0D9SGD3_HUMAN,PF3D7_0112000,Q8I226
,,,38.165,22.2,5.225,5.337,8.374,4.431,27.671,82.64965,4.883,14.312,31.944,31.1364,0.754,-2.189,15,0,4,10.86,0.583,,PF3D7_0112100,Q9U0N5
2.228,4.683,3.539,13.37,122.194,240.68,200.393,101.614,71.407,51.857,30.9239,17.927,23.837,5.432,45.1471,1,-1.001,210,784.8534577,43,59.52,0.987,tr|A0A0A0MS99|A0A0A0MS99_HUMAN,PF3D7_0112200,Q9U0N4
21.913,10.856,16.702,,,,,,,,,,,,,,,,0,,,,,PF3D7_0112300,
,,,,,,,,,,,,,,,,,5,0,,,,,PF3D7_0112400,
359.507,181.911,200.772,,,,,,,,,,,,,,,,0,,,,,PF3D7_0112500,
1002.789,95.081,220.537,,,,,,,,,,,,,,,1,0,,,,,PF3D7_0112700,
107.681,119.572,128.167,76.079,4.913,2.842,16.184,33.318,28.181,25.924,16.96915,35.884,28.917,57.266,0,0.559,-2.078,60,0,3,2.07,0.046,,PF3D7_0112800,Q9U0N3
10.91,13.008,13.881,70.389,176.932,64.87,20.942,18.417,32.448,39.678,42.38855,6.033,7.801,8.536,0,0.995,-2.003,38,0,5,41.75,0.967,,PF3D7_0112900,Q9U0N2
392.418,337.597,263.98,2770.221,7235.167,3080.418,918.242,621.396,1296.823,315.038,619.1428,1.677,5.517,6.796,1.0437,1,-2.159,898,0,1,2.68,0.079,,PF3D7_0113000,Q9U0N1
0,2.825,3.204,1.51,2.748,1.51,1.425,8.388,16.175,10.315,6.5854,3.703,14.617,17.413,70.3455,1,0.981,3657,0,32,17.41,0.802,,PF3D7_0113100,Q9U0N0
3.015,21.71,98.947,1.71,36.709,42.563,14.875,21.326,20.653,11.724,10.6079,24.414,28.172,63.524,34.1836,1,-1.287,1861,0,1,1.3,0.014,,PF3D7_0113200,B9ZSJ1
0,40.138,27.672,20.915,5.847,0.423,0.53,1.18,1.127,2.275,1.5039,27.423,14.451,25.509,0,0.952,-2.159,735,0,1,0.91,0.004,,PF3D7_0113300,Q9U0M8
,,,0.08,0.145,0.162,0.134,1.122,1.141,1.709,1.3832,1.936,13.635,11.448,19.2764,0.987,-2.317,219,0,2,2.33,0.06,,PF3D7_0113400,Q9U0M7
0,0.653,1.043,,,,,,,,,,,,,1,-1.467,,0,,,,,PF3D7_0113600,
0.361,6.369,2.322,456.23,349.33,57.477,33.487,87.546,64.067,96.356,213.99625,29.135,52.953,30.651,18.3089,1,-0.674,97,2960.168408,0,0,0,sp|Q9UDY4|DNJB4_HUMAN,PF3D7_0113700,Q8I2E1
0,0,0.039,2.373,2.008,2.178,3.245,8.043,6.035,5.54,5.7553,1.192,1.656,2.765,0.1905,1,-2.076,118,0,,,,,PF3D7_0113800,
123.576,62.345,66.679,343.333,154.978,25.014,38.115,57.474,38.128,50.411,65.70895,243.566,189.955,400.373,485.7515,0.256,-2.691,87,0,5,10.39,0.558,,PF3D7_0113900,Q8I2D9
