Gene,LD4_1,LD4_2,LD4_3,LD5_1,LD5_2,LD5_3,LD6_1,LD6_2,LD6_3,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3,D4F1,D4F2,D4M1,D4M2,D4M3,D6F1,D6F2,D6F3,D6F4,D6M1,D6M2,D10F1,D10F2,D10F3,D10M1,D11F1
PF3D7_0102300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2451.0,1418.0,3893.0,45.0,434.0,750.0,1012.0,811.0,2902.0,5322.0,5448.0,6569.0,91.0,538.0,835.0,1928.0,4777.0,5634.0,2251.0,1747.0,1297.0,145.0,50.0,323.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,8.0,0.0,38.0,1.0,0.0,0.0,4.0,0.0
PF3D7_0102400,0.0,0.0,0.0,0.0,1.0,21.0,111.0,1463.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0102500,0.0,0.0,0.0,6.0,5.0,8.0,169.0,610.0,63.0,2805.0,5414.0,1396.0,1133.0,305.0,467.0,74463.0,27459.0,18463.0,85.0,774.0,1031.0,19813.0,17027.0,51874.0,127.0,122.0,111.0,25478.0,1779.0,25086.0,13575.0,1895.0,4342.0,19.0,64.0,205.0,69.0,333.0,2.0,19.0,8.0,86.0,53.0,72.0,46.0,11.0,11.0,148.0,1.0
PF3D7_0102600,0.0,0.0,0.0,0.0,0.0,5.0,26.0,207.0,12.0,419.0,671.0,967.0,8500.0,22793.0,26388.0,460.0,785.0,911.0,440.0,1153.0,806.0,1762.0,1269.0,1448.0,3348.0,1279.0,1454.0,401.0,1557.0,525.0,1627.0,1974.0,3654.0,61.0,32.0,61.0,91.0,1178.0,2.0,47.0,55.0,24.0,134.0,1.0,7.0,27.0,34.0,20.0,1.0
PF3D7_0102700,0.0,0.0,0.0,0.0,21.0,27.0,28.0,484.0,54.0,304.0,513.0,916.0,523.0,206.0,278.0,2311.0,2181.0,1072.0,117.0,273.0,148.0,14113.0,2815.0,5400.0,149.0,160.0,126.0,761.0,615.0,559.0,3242.0,1149.0,1237.0,34.0,109.0,41.0,26.0,173.0,4.0,32.0,40.0,168.0,110.0,62.0,9.0,12.0,41.0,239.0,0.0
PF3D7_0102800,3.0,3.0,1.0,33.0,53.0,137.0,301.0,6859.0,261.0,226.0,106.0,370.0,7.0,76.0,95.0,48.0,106.0,372.0,366.0,419.0,490.0,243.0,93.0,184.0,196.0,276.0,397.0,197.0,187.0,135.0,100.0,31.0,72.0,9.0,39.0,44.0,18.0,74.0,0.0,10.0,14.0,30.0,335.0,64.0,8.0,11.0,16.0,0.0,1.0
PF3D7_0102900,1.0,180.0,10.0,257.0,536.0,766.0,1538.0,17241.0,3259.0,4086.0,3154.0,6491.0,10373.0,17874.0,17029.0,1722.0,1510.0,5379.0,6663.0,7188.0,8746.0,686.0,1608.0,1809.0,13950.0,10511.0,11687.0,3441.0,5061.0,2376.0,6790.0,9214.0,11361.0,166.0,83.0,55.0,163.0,38.0,11.0,150.0,123.0,145.0,91.0,0.0,14.0,213.0,126.0,11.0,3.0
PF3D7_0103000,0.0,19.0,0.0,28.0,26.0,112.0,93.0,3644.0,399.0,1152.0,451.0,921.0,8.0,34.0,49.0,264.0,438.0,971.0,286.0,481.0,959.0,32.0,390.0,233.0,66.0,136.0,198.0,798.0,285.0,489.0,53.0,23.0,65.0,168.0,42.0,149.0,143.0,27.0,5.0,142.0,134.0,38.0,268.0,25.0,14.0,100.0,69.0,106.0,0.0
PF3D7_0103100,0.0,39.0,0.0,182.0,87.0,218.0,1039.0,8261.0,1785.0,2033.0,1617.0,1780.0,94.0,487.0,459.0,1066.0,844.0,1665.0,913.0,1681.0,2117.0,123.0,641.0,580.0,551.0,669.0,766.0,2519.0,1511.0,1369.0,165.0,51.0,231.0,355.0,150.0,141.0,175.0,55.0,33.0,386.0,374.0,211.0,225.0,73.0,49.0,489.0,411.0,104.0,2.0
PF3D7_0103200,67.0,523.0,20.0,1097.0,2364.0,4531.0,13170.0,19976.0,35355.0,5433.0,4910.0,6871.0,3644.0,8369.0,7731.0,3047.0,2880.0,6137.0,5514.0,7571.0,8271.0,439.0,2769.0,2209.0,9051.0,7419.0,7321.0,6471.0,5775.0,4499.0,1378.0,3002.0,3380.0,296.0,517.0,335.0,747.0,2215.0,101.0,348.0,421.0,1016.0,520.0,477.0,186.0,438.0,481.0,360.0,90.0
PF3D7_0103300,32.0,100.0,1.0,169.0,262.0,594.0,1129.0,11598.0,1735.0,2393.0,2335.0,3306.0,3520.0,4055.0,3476.0,2943.0,2322.0,3454.0,1980.0,2770.0,2778.0,740.0,1953.0,2996.0,2722.0,2322.0,2527.0,2625.0,2337.0,2779.0,2934.0,3766.0,4247.0,257.0,89.0,337.0,295.0,30.0,52.0,234.0,271.0,66.0,276.0,0.0,55.0,241.0,191.0,184.0,0.0
PF3D7_0103400,5.0,93.0,1.0,18.0,223.0,724.0,1435.0,5882.0,1294.0,6248.0,10548.0,9398.0,959.0,5972.0,5640.0,13433.0,12252.0,12320.0,5568.0,7424.0,8568.0,4877.0,12583.0,10184.0,5620.0,6650.0,8285.0,10846.0,14264.0,11482.0,2236.0,700.0,1650.0,1598.0,185.0,802.0,719.0,54.0,218.0,1525.0,1432.0,198.0,733.0,72.0,262.0,2451.0,2070.0,1131.0,54.0
PF3D7_0103500,0.0,38.0,0.0,29.0,229.0,321.0,676.0,2348.0,1450.0,655.0,414.0,1317.0,47.0,158.0,239.0,327.0,410.0,1371.0,581.0,822.0,1430.0,140.0,398.0,492.0,269.0,659.0,1168.0,554.0,336.0,924.0,124.0,61.0,139.0,86.0,76.0,298.0,207.0,17.0,36.0,157.0,161.0,43.0,431.0,3.0,24.0,46.0,116.0,398.0,1.0
PF3D7_0103600,4.0,10.0,0.0,62.0,41.0,111.0,491.0,3885.0,328.0,2448.0,2182.0,5578.0,447.0,2212.0,1626.0,1227.0,1219.0,4728.0,1526.0,2343.0,3022.0,151.0,1800.0,1292.0,2089.0,1769.0,2657.0,1898.0,5064.0,5046.0,324.0,211.0,518.0,1280.0,517.0,201.0,239.0,76.0,78.0,1149.0,987.0,1851.0,193.0,5.0,447.0,2019.0,1672.0,509.0,342.0
PF3D7_0103700,0.0,0.0,3.0,0.0,6.0,28.0,103.0,538.0,77.0,594.0,346.0,951.0,606.0,915.0,717.0,230.0,281.0,768.0,504.0,828.0,864.0,44.0,411.0,319.0,601.0,572.0,850.0,384.0,416.0,579.0,485.0,592.0,774.0,50.0,75.0,64.0,25.0,22.0,10.0,17.0,17.0,11.0,19.0,0.0,44.0,21.0,49.0,0.0,0.0
PF3D7_0103800,0.0,0.0,0.0,1.0,15.0,5.0,96.0,1070.0,93.0,1104.0,2483.0,1087.0,114.0,125.0,147.0,826.0,1176.0,1370.0,95.0,726.0,862.0,55.0,1148.0,480.0,74.0,51.0,86.0,1570.0,2257.0,695.0,169.0,217.0,231.0,3402.0,533.0,1169.0,1561.0,424.0,538.0,2810.0,3767.0,398.0,756.0,235.0,556.0,3065.0,2504.0,765.0,23.0
PF3D7_0103900,0.0,93.0,1.0,77.0,115.0,267.0,1324.0,15494.0,1217.0,824.0,712.0,1567.0,182.0,457.0,509.0,342.0,311.0,1323.0,819.0,1349.0,1671.0,28.0,340.0,373.0,595.0,915.0,1245.0,917.0,1095.0,730.0,65.0,56.0,233.0,211.0,88.0,260.0,128.0,53.0,4.0,303.0,393.0,48.0,395.0,21.0,28.0,434.0,406.0,96.0,0.0
PF3D7_0104000,0.0,0.0,2.0,3.0,12.0,30.0,232.0,1416.0,202.0,67.0,140.0,62.0,0.0,3.0,11.0,38.0,124.0,129.0,21.0,44.0,58.0,3.0,100.0,63.0,0.0,6.0,14.0,87.0,48.0,55.0,5.0,9.0,18.0,567.0,772.0,115.0,335.0,348.0,61.0,585.0,585.0,1869.0,180.0,223.0,75.0,558.0,595.0,234.0,84.0
PF3D7_0104100,7.0,1.0,0.0,17.0,28.0,95.0,535.0,1915.0,508.0,615.0,811.0,316.0,17.0,89.0,81.0,743.0,639.0,1101.0,88.0,545.0,725.0,166.0,531.0,582.0,79.0,51.0,85.0,1323.0,258.0,819.0,145.0,26.0,89.0,135.0,245.0,6.0,50.0,354.0,15.0,114.0,153.0,330.0,1.0,18.0,49.0,195.0,184.0,11.0,84.0
PF3D7_0104200,10.0,107.0,32.0,193.0,769.0,2296.0,1957.0,22988.0,6618.0,1501.0,1714.0,1259.0,298.0,1631.0,1316.0,10718.0,4852.0,3560.0,742.0,1515.0,1575.0,4549.0,3603.0,8330.0,1489.0,1255.0,1323.0,5080.0,852.0,2931.0,2059.0,371.0,779.0,55.0,17.0,97.0,138.0,200.0,8.0,53.0,49.0,50.0,79.0,5.0,12.0,55.0,27.0,106.0,0.0
PF3D7_0104300,27.0,111.0,10.0,228.0,474.0,1228.0,2600.0,15058.0,3019.0,3664.0,6295.0,5843.0,8912.0,7554.0,6002.0,27132.0,14177.0,10798.0,2696.0,3477.0,3884.0,54158.0,19854.0,63887.0,4108.0,3090.0,3721.0,8975.0,7041.0,12676.0,25332.0,8602.0,12322.0,158.0,253.0,526.0,685.0,601.0,65.0,340.0,339.0,182.0,457.0,70.0,43.0,217.0,237.0,390.0,0.0
PF3D7_0104400,36.0,60.0,0.0,193.0,541.0,1193.0,4115.0,31002.0,6170.0,1842.0,1647.0,2267.0,152.0,818.0,951.0,1088.0,937.0,1923.0,1427.0,2064.0,2168.0,462.0,866.0,1108.0,1053.0,1336.0,1402.0,1797.0,1144.0,1892.0,397.0,128.0,366.0,551.0,210.0,236.0,328.0,153.0,137.0,494.0,607.0,64.0,348.0,216.0,165.0,549.0,578.0,88.0,62.0
PF3D7_0104500,43.0,564.0,0.0,916.0,875.0,1324.0,1950.0,43213.0,8925.0,794.0,477.0,1391.0,2091.0,2570.0,2581.0,323.0,227.0,940.0,1460.0,1650.0,1382.0,142.0,252.0,319.0,3001.0,2110.0,1984.0,478.0,983.0,386.0,1102.0,1659.0,1877.0,44.0,2.0,37.0,40.0,1.0,2.0,26.0,53.0,8.0,68.0,72.0,4.0,37.0,32.0,0.0,0.0
PF3D7_0104600,11.0,11.0,0.0,42.0,39.0,145.0,371.0,2994.0,570.0,208.0,118.0,578.0,235.0,438.0,335.0,76.0,66.0,467.0,135.0,266.0,316.0,28.0,89.0,107.0,247.0,291.0,435.0,143.0,149.0,277.0,127.0,108.0,266.0,43.0,221.0,14.0,36.0,86.0,3.0,35.0,37.0,448.0,20.0,0.0,6.0,87.0,86.0,60.0,0.0
PF3D7_0104700,0.0,0.0,0.0,6.0,8.0,52.0,129.0,389.0,86.0,54.0,19.0,267.0,1.0,4.0,2.0,46.0,45.0,260.0,16.0,34.0,48.0,24.0,44.0,52.0,0.0,15.0,28.0,49.0,42.0,119.0,4.0,0.0,8.0,66.0,113.0,92.0,117.0,249.0,4.0,80.0,207.0,94.0,14.0,98.0,15.0,35.0,55.0,88.0,65.0
PF3D7_0104800,0.0,36.0,0.0,17.0,41.0,115.0,190.0,5795.0,301.0,847.0,658.0,1103.0,53.0,75.0,121.0,1118.0,1010.0,1629.0,506.0,750.0,816.0,197.0,969.0,1034.0,238.0,333.0,381.0,1228.0,549.0,832.0,264.0,143.0,220.0,1738.0,4102.0,614.0,784.0,1367.0,337.0,1888.0,1859.0,8567.0,798.0,1797.0,703.0,2421.0,3375.0,884.0,1071.0
PF3D7_0104900,3.0,9.0,0.0,16.0,38.0,46.0,103.0,4439.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0105000,1.0,4.0,1.0,7.0,20.0,38.0,82.0,2547.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0105100,0.0,135.0,0.0,324.0,1031.0,575.0,3053.0,62833.0,5895.0,197.0,91.0,325.0,3.0,18.0,47.0,77.0,69.0,212.0,194.0,253.0,276.0,7.0,51.0,49.0,123.0,174.0,164.0,179.0,50.0,102.0,14.0,0.0,10.0,50.0,34.0,0.0,32.0,38.0,11.0,10.0,15.0,32.0,3.0,52.0,0.0,14.0,22.0,0.0,0.0
PF3D7_0105200,6.0,136.0,36.0,165.0,591.0,1205.0,1821.0,23243.0,5509.0,427.0,784.0,611.0,219.0,2138.0,1466.0,482.0,502.0,996.0,1141.0,1135.0,1086.0,90.0,337.0,356.0,1786.0,1506.0,1916.0,812.0,1082.0,597.0,72.0,82.0,187.0,95.0,46.0,224.0,234.0,458.0,11.0,157.0,126.0,6.0,179.0,0.0,22.0,44.0,62.0,129.0,2.0
PF3D7_0105300,3.0,16.0,0.0,49.0,151.0,173.0,2059.0,4012.0,1195.0,3531.0,2521.0,2528.0,32.0,21.0,42.0,3381.0,3859.0,3544.0,438.0,1267.0,2257.0,248.0,2866.0,1207.0,38.0,171.0,216.0,6923.0,1431.0,1870.0,304.0,103.0,154.0,152.0,191.0,222.0,255.0,204.0,25.0,191.0,109.0,153.0,121.0,16.0,7.0,140.0,89.0,208.0,72.0
PF3D7_0105400,0.0,0.0,0.0,0.0,5.0,12.0,27.0,450.0,45.0,1537.0,1771.0,657.0,32.0,18.0,41.0,2875.0,2832.0,2270.0,18.0,225.0,769.0,145.0,1920.0,810.0,55.0,26.0,27.0,4292.0,886.0,837.0,223.0,76.0,124.0,44.0,67.0,135.0,79.0,240.0,10.0,60.0,79.0,39.0,36.0,0.0,24.0,48.0,25.0,1.0,0.0
PF3D7_0105500,0.0,3.0,0.0,33.0,35.0,61.0,156.0,3449.0,388.0,135.0,76.0,207.0,0.0,42.0,48.0,53.0,97.0,188.0,107.0,141.0,163.0,6.0,99.0,95.0,170.0,94.0,107.0,151.0,98.0,98.0,10.0,2.0,10.0,70.0,37.0,0.0,41.0,813.0,6.0,66.0,57.0,13.0,19.0,1.0,17.0,34.0,27.0,57.0,0.0
PF3D7_0105600,5.0,10.0,6.0,77.0,206.0,296.0,1300.0,3116.0,1900.0,459.0,543.0,603.0,614.0,786.0,721.0,347.0,365.0,584.0,506.0,642.0,612.0,69.0,441.0,239.0,655.0,609.0,594.0,569.0,697.0,348.0,330.0,394.0,712.0,141.0,120.0,285.0,258.0,500.0,40.0,245.0,210.0,116.0,368.0,79.0,27.0,130.0,99.0,140.0,0.0
PF3D7_0105700,15.0,605.0,100.0,544.0,1381.0,3221.0,7455.0,55134.0,13517.0,1177.0,1107.0,2273.0,33.0,100.0,154.0,450.0,946.0,1927.0,1030.0,1392.0,1531.0,76.0,755.0,582.0,275.0,620.0,999.0,1120.0,887.0,2632.0,90.0,43.0,158.0,1226.0,395.0,2032.0,3683.0,17.0,354.0,2386.0,2453.0,151.0,2145.0,86.0,312.0,951.0,1166.0,2408.0,29.0
PF3D7_0105800,0.0,114.0,19.0,243.0,682.0,1317.0,2651.0,34434.0,6273.0,4677.0,6746.0,4193.0,88.0,184.0,272.0,4491.0,5929.0,6869.0,2198.0,4321.0,5460.0,414.0,5335.0,2487.0,713.0,1725.0,2305.0,8289.0,7053.0,4431.0,583.0,125.0,460.0,239.0,185.0,384.0,535.0,90.0,84.0,278.0,386.0,84.0,393.0,39.0,55.0,214.0,181.0,180.0,0.0
PF3D7_0105900,3.0,76.0,12.0,69.0,239.0,600.0,1324.0,9390.0,2480.0,412.0,305.0,520.0,9.0,36.0,54.0,261.0,268.0,571.0,241.0,362.0,531.0,20.0,287.0,215.0,155.0,209.0,230.0,657.0,211.0,357.0,35.0,11.0,31.0,95.0,14.0,119.0,59.0,87.0,17.0,87.0,60.0,88.0,76.0,28.0,33.0,130.0,100.0,47.0,0.0
PF3D7_0106000,2.0,8.0,1.0,73.0,44.0,218.0,333.0,8807.0,1258.0,2798.0,3059.0,1924.0,49.0,126.0,183.0,3248.0,2764.0,3784.0,835.0,1624.0,2484.0,272.0,2202.0,1374.0,238.0,465.0,700.0,5714.0,1739.0,2106.0,312.0,75.0,247.0,152.0,109.0,187.0,191.0,382.0,33.0,224.0,153.0,94.0,115.0,19.0,119.0,266.0,207.0,176.0,69.0
PF3D7_0106100,3.0,69.0,7.0,96.0,193.0,621.0,664.0,31867.0,2384.0,1094.0,1022.0,1447.0,1053.0,1842.0,1803.0,889.0,945.0,1503.0,1029.0,1519.0,1918.0,105.0,774.0,646.0,1386.0,1076.0,1357.0,1447.0,1048.0,906.0,493.0,820.0,1120.0,30.0,36.0,143.0,162.0,2192.0,23.0,110.0,115.0,71.0,90.0,72.0,32.0,63.0,31.0,114.0,0.0
PF3D7_0106200,0.0,2.0,0.0,11.0,32.0,90.0,851.0,2155.0,533.0,392.0,346.0,412.0,4.0,10.0,3.0,220.0,276.0,477.0,56.0,131.0,335.0,16.0,249.0,114.0,12.0,35.0,42.0,403.0,290.0,199.0,51.0,7.0,55.0,33.0,72.0,7.0,64.0,28.0,3.0,47.0,83.0,18.0,15.0,1.0,9.0,43.0,42.0,186.0,0.0
PF3D7_0106300,7.0,214.0,38.0,302.0,1701.0,2618.0,2214.0,33857.0,10324.0,10379.0,10490.0,10880.0,8142.0,8413.0,8817.0,5389.0,7413.0,10659.0,7480.0,13321.0,14705.0,2017.0,7251.0,4591.0,6786.0,6864.0,7876.0,11789.0,11952.0,8603.0,10348.0,7067.0,10176.0,455.0,841.0,1486.0,1203.0,513.0,103.0,650.0,706.0,325.0,1484.0,108.0,82.0,537.0,408.0,471.0,44.0
PF3D7_0106400,79.0,73.0,9.0,220.0,528.0,1229.0,1806.0,11135.0,2889.0,425.0,321.0,708.0,2815.0,4385.0,4588.0,233.0,173.0,552.0,737.0,892.0,814.0,276.0,300.0,337.0,3529.0,1919.0,1744.0,271.0,721.0,293.0,2538.0,3087.0,3253.0,72.0,257.0,48.0,60.0,72.0,30.0,70.0,104.0,132.0,16.0,92.0,48.0,56.0,63.0,4.0,0.0
PF3D7_0106500,0.0,57.0,0.0,23.0,211.0,306.0,811.0,15254.0,953.0,844.0,650.0,1180.0,13.0,24.0,26.0,257.0,371.0,1196.0,499.0,940.0,1441.0,44.0,370.0,306.0,59.0,225.0,388.0,866.0,574.0,1114.0,111.0,13.0,101.0,171.0,71.0,158.0,213.0,22.0,36.0,176.0,191.0,1.0,447.0,18.0,28.0,200.0,80.0,576.0,0.0
PF3D7_0106600,0.0,0.0,5.0,9.0,6.0,20.0,10.0,188.0,12.0,158.0,136.0,197.0,2.0,0.0,3.0,149.0,248.0,177.0,16.0,13.0,52.0,29.0,291.0,106.0,2.0,1.0,4.0,158.0,115.0,169.0,23.0,3.0,13.0,4.0,6.0,0.0,0.0,6.0,0.0,3.0,2.0,29.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
PF3D7_0106700,11.0,324.0,0.0,302.0,730.0,1622.0,2114.0,17591.0,4872.0,2564.0,2386.0,5242.0,3901.0,7630.0,6305.0,1822.0,2795.0,4346.0,2701.0,2878.0,3752.0,636.0,3051.0,1882.0,4189.0,3139.0,4151.0,2544.0,3465.0,3842.0,4864.0,3519.0,5581.0,1147.0,293.0,1442.0,1800.0,117.0,262.0,1432.0,1586.0,88.0,1145.0,64.0,276.0,866.0,693.0,685.0,0.0
PF3D7_0106800,1.0,15.0,0.0,6.0,128.0,198.0,895.0,4680.0,841.0,1017.0,820.0,725.0,39.0,220.0,269.0,377.0,518.0,814.0,607.0,994.0,1633.0,39.0,308.0,238.0,520.0,439.0,567.0,1134.0,787.0,441.0,71.0,18.0,87.0,282.0,223.0,175.0,265.0,565.0,51.0,361.0,411.0,144.0,234.0,110.0,25.0,384.0,193.0,151.0,10.0
