Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_0103500,6.589,26.911,24.442,23.0659,4.203,5.185,33.964,42.349,39.253,30.084,31.33,52.532,59.951,20.888,109.2624
PF3D7_0103600,7.553,17.453,18.819,101.94094999999999,16.887,62.266,126.727,130.143,208.905,245.958,131.622,159.274,197.106,531.306,173.6957
PF3D7_0103700,34.027,3.702,9.05,61.34310000000001,77.963,86.844,101.103,107.079,99.586,71.262,61.071,37.437,22.175,68.79,0.0
PF3D7_0103800,0.0,3.074,9.444,114.74875,21.492,12.337,8.533,61.316,209.37,176.773,138.336,1253.672,1586.523,1562.487,546.7129
PF3D7_0103900,53.03,67.319,136.152,50.0161,11.978,36.633,118.646,156.61,138.394,114.536,78.217,136.437,175.487,188.163,70.9692
PF3D7_0104000,64.771,18.05,62.875,39.4448,3.763,1.439,3.0,16.524,42.022,26.53,42.246,716.932,894.982,998.968,583.015
PF3D7_0104100,11.666,10.073,21.6,43.5173,5.045,3.268,4.997,28.537,45.313,55.59,57.283,21.283,30.165,67.829,4.5323
PF3D7_0104200,382.251,368.074,300.205,802.5146,111.985,100.623,168.562,153.793,203.581,362.12,799.532,66.654,36.996,27.04,77.4628
PF3D7_0104300,45.444,51.035,44.467,1128.108,329.725,152.727,91.384,84.63,143.909,252.094,442.458,65.096,49.821,26.125,57.7563
PF3D7_0104400,118.95,223.292,364.37,122.78954999999999,27.651,53.563,144.451,210.913,232.81,185.514,144.612,213.877,325.038,341.277,58.0689
PF3D7_0104500,808.413,1200.639,892.663,82.72309999999999,346.391,496.803,611.688,405.354,246.099,159.256,122.832,56.225,53.116,35.604,0.0
PF3D7_0104600,21.611,19.022,21.935,7.93585,10.063,19.018,24.073,16.759,22.913,14.728,13.673,11.567,9.937,22.635,25.7027
PF3D7_0104700,0.0,9.082,10.041,8.12765,0.479,0.27,2.325,4.702,17.621,11.609,16.59,76.639,57.0,39.527,78.767
PF3D7_0104800,17.569,22.707,37.487,147.04665,23.244,8.419,42.668,90.007,123.022,113.721,163.143,693.825,1085.522,1914.31,683.1049
PF3D7_0104900,109.232,130.846,219.69,,,,,,,,,,,,
PF3D7_0105000,113.145,68.569,118.679,,,,,,,,,,,,
PF3D7_0105100,135.665,709.141,1039.536,15.184949999999999,1.755,4.521,42.509,65.416,58.638,29.378,30.987,35.924,33.553,15.047,0.0
PF3D7_0105200,457.026,266.506,295.332,52.119749999999996,12.675,127.219,234.32,156.836,89.089,110.687,87.192,139.301,91.071,45.757,102.0779
PF3D7_0105300,30.444,104.377,225.347,556.5405000000001,37.372,5.946,35.196,284.263,739.063,750.4,865.344,271.917,172.717,93.717,288.2427
PF3D7_0105400,0.0,3.247,6.946,371.92985000000004,28.021,5.699,8.217,67.345,346.637,432.642,640.19,115.126,68.942,70.742,1.3818
PF3D7_0105500,3.502,56.018,68.571,34.21845,1.887,6.878,38.126,42.966,46.676,35.968,34.884,56.214,68.959,71.809,105.3449
PF3D7_0105600,43.994,48.2,58.55,28.082050000000002,28.838,40.05,44.706,42.828,41.688,37.939,30.833,91.542,99.731,40.324,59.177
PF3D7_0105700,290.842,151.573,177.4,21.5119,2.252,2.044,18.638,37.399,45.961,47.824,30.914,363.732,329.163,163.294,402.209
PF3D7_0105800,131.85,168.192,205.174,317.6728,22.623,9.71,115.705,269.061,402.638,451.987,410.006,149.995,141.897,72.961,74.406
PF3D7_0105900,153.794,106.241,134.542,34.4964,2.582,2.989,24.507,44.365,53.824,48.489,43.452,59.999,51.083,74.021,33.4887
PF3D7_0106000,14.13,37.236,53.876,189.1171,16.206,8.358,44.824,144.309,264.961,281.267,301.802,89.171,81.316,154.385,95.7946
PF3D7_0106100,147.046,155.179,268.877,136.9021,117.668,207.215,217.202,249.442,218.926,190.928,188.683,109.109,98.868,67.657,114.4789
PF3D7_0106200,1.535,26.536,86.132,43.3557,6.317,0.911,6.41,32.429,86.066,59.676,66.337,37.434,39.979,41.584,225.9662
PF3D7_0106300,218.391,264.434,195.068,382.37964999999997,441.098,379.825,409.759,652.731,651.765,605.521,442.559,337.282,257.02,117.516,156.617
PF3D7_0106400,646.756,479.597,319.306,82.12989999999999,588.752,706.823,541.408,192.749,119.624,99.164,70.768,73.131,108.662,131.279,5.4406
PF3D7_0106500,14.785,36.781,61.01,26.66505,4.269,1.131,16.421,63.582,66.864,61.96,40.627,67.886,95.179,44.394,236.564
PF3D7_0106600,138.152,16.668,3.908,83.6156,3.894,0.487,0.845,9.161,63.907,54.612,71.994,2.133,2.108,2.37,0.0
PF3D7_0106700,89.805,173.137,123.442,173.5561,241.977,283.221,235.08,193.14,222.245,209.997,183.366,492.097,448.321,280.986,247.9225
PF3D7_0106800,10.578,40.727,74.893,41.425650000000005,6.415,17.547,68.365,137.692,125.644,101.076,75.992,169.692,220.344,141.142,118.9448
PF3D7_0106900,79.642,42.176,56.245,31.6222,4.437,4.766,35.89,71.139,88.188,73.882,55.58,17.709,15.049,21.062,0.6471
PF3D7_0107000,239.827,209.704,302.901,157.5771,16.41,14.599,172.455,492.965,542.707,353.047,221.314,336.263,273.361,137.231,359.3931
PF3D7_0107100,109.089,55.771,53.233,10.6603,1.606,6.444,34.13,35.309,37.283,16.563,18.081,57.299,89.618,53.076,79.3566
PF3D7_0107200,10.387,69.405,68.589,19.487099999999998,2.439,8.908,68.138,80.304,78.503,43.088,34.987,23.292,62.212,38.482,251.6197
PF3D7_0107300,211.892,124.53,68.268,48.7886,3.496,3.079,13.351,17.359,47.999,47.944,51.703,62.887,88.583,173.989,67.9666
PF3D7_0107400,152.728,153.769,232.287,44.5353,23.745,13.178,35.34,81.538,72.075,50.838,53.759,98.137,82.872,72.039,15.4916
PF3D7_0107500,112.657,140.82,111.184,1029.31235,759.334,591.753,422.89,213.217,140.872,184.826,509.333,168.825,120.742,94.031,210.4321
PF3D7_0107600,94.648,25.016,13.259,10.577,0.911,0.371,0.872,1.776,4.198,7.757,7.903,15.055,7.703,7.074,39.554
PF3D7_0107700,0.0,5.659,7.153,10.558250000000001,3.392,6.108,38.561,37.035,34.868,22.167,25.046,68.636,75.703,82.686,116.9414
PF3D7_0107800,59.647,68.249,104.202,44.89685,9.038,48.309,115.542,134.819,132.627,129.058,73.949,22.866,16.761,18.083,9.0732
PF3D7_0107900,55.9,123.525,176.683,27.7151,22.114,123.333,162.735,139.094,79.067,65.135,38.323,114.506,118.395,59.207,220.0761
PF3D7_0108000,433.429,282.129,288.541,263.82845,195.315,285.559,488.049,830.147,843.084,611.496,410.459,341.331,268.57,211.27,56.5755
PF3D7_0108100,16.468,30.812,45.042,19.56935,2.493,6.158,23.838,35.741,44.369,30.348,24.581,28.125,49.128,100.153,7.6884
PF3D7_0108300,87.696,133.593,144.725,876.44875,816.262,914.66,626.475,454.433,416.93,563.866,502.647,441.727,438.169,228.377,491.3711
PF3D7_0108400,5.022,32.667,49.497,198.36815,63.543,54.852,57.261,51.743,55.811,35.404,60.254,97.659,113.279,113.179,46.6887
PF3D7_0108500,0.363,4.574,1.706,6240.30895,2579.396,567.14,108.207,65.328,112.701,222.551,1945.571,278.302,344.885,627.175,150.7165
PF3D7_0108600,124.352,105.113,81.991,7614.88665,3135.133,697.556,165.904,143.808,204.633,308.821,2400.0,323.14,387.274,528.373,208.8371
PF3D7_0108700,60.795,72.382,90.237,86.07225,79.32,114.719,90.356,160.45,172.243,165.661,97.537,169.884,149.904,165.211,197.0931
PF3D7_0108800,7.875,40.9,42.57,55.46355,20.194,32.543,52.107,83.344,95.433,71.1,68.156,96.83,195.037,472.402,242.3303
PF3D7_0108900,6.045,2.367,0.148,,,,,,,,,,,,
PF3D7_0109000,115.995,16.196,6.546,992.06125,111.372,14.212,7.967,35.851,219.051,436.183,1257.138,554.636,665.228,239.459,378.7498
PF3D7_0109100,0.0,2.462,5.865,278.96785,19.748,1.973,2.029,9.451,53.939,75.246,216.434,417.948,555.115,479.739,134.7556
PF3D7_0109200,88.861,327.726,331.163,38.9197,15.455,54.081,101.758,123.351,121.039,91.464,61.291,305.27,222.855,158.239,46.1593
PF3D7_0109300,115.032,352.651,360.802,24.545450000000002,4.095,10.576,37.473,51.402,69.192,33.545,44.659,113.74,90.649,108.047,17.9436
PF3D7_0109400,313.176,399.935,537.556,98.00485,19.4,89.771,270.1,215.49,164.571,135.219,117.793,1188.747,1208.111,356.398,484.3145
PF3D7_0109500,36.051,84.002,83.158,61.8724,110.475,164.968,123.487,125.465,103.099,97.016,70.025,259.677,285.906,567.655,194.8221
PF3D7_0109600,81.062,382.257,269.768,40.21615,66.663,48.291,110.72,70.256,44.293,43.517,33.12,65.491,70.878,89.038,0.0
PF3D7_0109700,165.353,141.466,127.182,64.14785,204.508,139.015,69.07,57.585,55.532,69.405,39.969,2.342,3.345,5.232,0.0
PF3D7_0109800,170.371,152.742,206.717,101.66565,180.505,222.719,148.991,193.077,179.216,183.752,90.145,80.69,84.618,70.638,86.7132
PF3D7_0109850,57.577,332.139,482.129,25.3627,12.3,12.399,17.699,48.527,63.406,41.858,36.633,544.107,549.671,654.845,131.1784
PF3D7_0109950,115.22,46.696,56.691,64.11135,13.038,35.973,90.364,172.746,169.365,139.466,94.089,1168.342,1471.977,1665.318,522.3555
PF3D7_0110000,255.243,208.64,278.254,109.3128,50.367,67.1,136.538,206.001,183.539,165.83,99.594,8172.091,4954.386,4196.215,1175.6735
PF3D7_0110100,29.548,49.812,57.072,31.36725,59.2,55.409,74.524,79.739,84.615,62.665,45.367,4125.34,3307.847,3357.214,786.8798
PF3D7_0110200,121.632,81.294,98.999,26.139499999999998,30.523,66.55,68.107,81.914,105.853,51.811,54.157,35.206,45.919,45.953,64.8294
PF3D7_0110400,178.957,181.719,244.959,113.93425,236.833,260.978,256.694,279.989,302.263,167.448,142.686,347.761,394.054,310.214,63.8249
PF3D7_0110500,84.9,87.259,118.935,39.67675,19.919,65.363,79.094,83.287,59.306,64.182,44.102,183.068,167.897,79.238,188.5191
PF3D7_0110600,55.383,64.316,76.809,320.45325,200.862,122.952,106.083,119.864,169.006,212.808,220.819,180.801,221.844,296.398,252.284
PF3D7_0110700,83.458,243.689,196.222,141.30475,37.358,47.205,367.737,300.288,230.428,216.714,176.188,245.89,190.124,64.714,352.9861
PF3D7_0110800,12.73,47.641,49.387,248.6023,208.234,285.735,303.863,212.172,184.433,228.203,299.404,906.674,609.277,392.661,789.8
PF3D7_0110900,339.502,146.462,233.797,22.2364,72.18,128.274,142.335,70.121,51.506,34.832,28.547,360.935,226.4,132.737,748.6691
PF3D7_0111000,4.611,29.281,40.796,74.30645,6.801,4.021,27.725,80.839,105.687,117.979,107.709,358.969,394.011,142.716,2845.1978
PF3D7_0111200,31.079,63.462,83.709,12.79805,1.633,3.094,29.845,39.74,42.888,31.316,26.498,35.733,33.336,15.831,183.678
PF3D7_0111300,141.812,169.581,189.822,51.4944,6.894,26.516,135.913,223.068,156.441,158.241,69.512,36.664,48.679,41.334,87.7829
PF3D7_0111400,126.671,103.346,143.009,55.862049999999996,5.701,16.676,81.702,135.169,173.094,152.27,89.329,48.426,31.512,39.947,16.7789
PF3D7_0111500,21.459,42.406,56.076,196.5885,22.706,32.514,179.056,258.324,284.878,283.988,359.114,49.613,42.379,27.011,131.0396
PF3D7_0111600,58.338,35.203,49.372,10.022649999999999,9.876,39.961,44.96,38.505,17.279,10.836,12.24,17.216,25.726,20.225,0.0
PF3D7_0111700,67.202,74.425,91.845,0.46585,0.076,0.919,0.765,0.728,0.0,0.727,0.252,2.109,0.581,2.208,0.0
PF3D7_0111800,39.81,91.719,106.3,59.7846,30.193,121.222,168.037,152.257,143.435,115.222,81.84,72.251,58.655,67.945,70.6966
PF3D7_0111900,1.775,30.603,94.457,150.3497,76.288,163.812,330.913,469.688,402.692,278.812,214.294,147.082,106.878,68.471,213.5817
PF3D7_0112000,111.975,218.051,210.154,16.34845,37.989,60.138,71.249,87.05,50.117,35.046,24.429,30.605,26.831,19.157,85.6875
PF3D7_0112100,,,,82.64965000000001,38.165,22.2,5.225,5.337,8.374,4.431,27.671,4.883,14.312,31.944,31.1364
PF3D7_0112200,2.228,4.683,3.539,30.9239,13.37,122.194,240.68,200.393,101.614,71.407,51.857,17.927,23.837,5.432,45.1471
PF3D7_0112300,21.913,10.856,16.702,,,,,,,,,,,,
PF3D7_0112500,359.507,181.911,200.772,,,,,,,,,,,,
PF3D7_0112700,1002.789,95.081,220.537,,,,,,,,,,,,
PF3D7_0112800,107.681,119.572,128.167,16.96915,76.079,4.913,2.842,16.184,33.318,28.181,25.924,35.884,28.917,57.266,0.0
PF3D7_0112900,10.91,13.008,13.881,42.388549999999995,70.389,176.932,64.87,20.942,18.417,32.448,39.678,6.033,7.801,8.536,0.0
PF3D7_0113000,392.418,337.597,263.98,619.1428000000001,2770.221,7235.167,3080.418,918.242,621.396,1296.823,315.038,1.677,5.517,6.796,1.0437
PF3D7_0113100,0.0,2.825,3.204,6.5854,1.51,2.748,1.51,1.425,8.388,16.175,10.315,3.703,14.617,17.413,70.3455
PF3D7_0113200,3.015,21.71,98.947,10.6079,1.71,36.709,42.563,14.875,21.326,20.653,11.724,24.414,28.172,63.524,34.1836
PF3D7_0113300,0.0,40.138,27.672,1.5039,20.915,5.847,0.423,0.53,1.18,1.127,2.275,27.423,14.451,25.509,0.0
PF3D7_0113400,,,,1.3832,0.08,0.145,0.162,0.134,1.122,1.141,1.709,1.936,13.635,11.448,19.2764
PF3D7_0113600,0.0,0.653,1.043,,,,,,,,,,,,
PF3D7_0113700,0.361,6.369,2.322,213.99625,456.23,349.33,57.477,33.487,87.546,64.067,96.356,29.135,52.953,30.651,18.3089
PF3D7_0113800,0.0,0.0,0.039,5.7553,2.373,2.008,2.178,3.245,8.043,6.035,5.54,1.192,1.656,2.765,0.1905
PF3D7_0113900,123.576,62.345,66.679,65.70895,343.333,154.978,25.014,38.115,57.474,38.128,50.411,243.566,189.955,400.373,485.7515
PF3D7_0114000,0.0,0.035,6.333,105.83605,12.627,7.502,5.94,12.762,66.883,155.383,98.736,984.704,362.105,140.715,240.0813
PF3D7_0114100,,,,13.9097,2.217,146.751,145.414,19.875,19.488,19.671,15.862,134.123,64.978,22.168,32.2078
PF3D7_0114200,,,,3.8891,0.431,0.556,10.788,7.625,9.284,6.296,3.026,0.0,0.0,1.874,0.0
PF3D7_0114300,0.0,0.362,0.047,,,,,,,,,,,,
PF3D7_0114500,0.0,0.0,4.661,0.0,0.085,0.0,0.097,0.0,0.0,0.0,0.0,26.322,96.813,117.9,15.337
PF3D7_0114700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4335
PF3D7_0114750,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0114800,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0115000,0.0,15.038,1.003,0.0547,0.017,0.0,0.0,0.0,0.02,0.125,0.0,1.241,1.643,3.331,10.9917
PF3D7_0115100,,,,0.0,0.0,0.537,0.094,0.0,0.0,0.133,0.0,45.217,25.771,11.271,1.9053
PF3D7_0115200,,,,0.1244,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0115300,,,,0.0,0.091,0.134,0.081,0.0,0.0,0.0,0.0,0.409,2.303,2.232,254.5816
PF3D7_0115400,,,,0.0,0.105,0.314,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0115600,0.0,16.952,0.0,0.24315,0.0,0.115,0.0,0.0,0.09,0.098,0.07,13.326,3.11,16.832,54.4403
PF3D7_0115700,0.0,0.0,0.461,0.048549999999999996,0.011,0.0,0.015,0.0,0.0,0.0,0.013,2.039,6.653,4.465,28.5261
PF3D7_0200100,0.0,0.0,0.158,1.63005,1.892,0.546,0.647,0.532,0.959,1.007,1.258,9.875,8.546,0.997,0.3219
PF3D7_0200200,0.0,0.0,0.177,3.91055,1.073,0.513,1.241,0.417,0.275,0.877,1.65,2.986,12.163,4.294,0.0
PF3D7_0200300,,,,0.89725,0.07,0.0,0.0,0.343,0.0,0.079,0.072,0.363,0.795,1.977,0.0
PF3D7_0200400,,,,0.0,0.0,0.466,2.424,0.0,0.105,0.617,0.718,0.0,0.0,0.0,0.0
PF3D7_0200500,0.0,0.0,0.0,3.1994499999999997,0.079,0.587,0.421,0.065,0.264,0.214,0.716,0.357,0.0,0.0,0.0
PF3D7_0200600,,,,0.67875,0.083,0.743,0.534,0.0,0.194,0.328,0.626,0.0,0.0,2.055,0.0
PF3D7_0200700,,,,1.1050499999999999,0.153,3.671,5.713,0.084,0.276,1.208,2.062,0.0,0.0,2.136,0.0
PF3D7_0201000,,,,0.8887499999999999,0.0,0.0,0.0,0.0,0.115,0.097,0.74,0.0,0.0,0.0,0.0
PF3D7_0201100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.493,0.449,0.0,0.0,0.0,0.0
PF3D7_0201200,0.0,0.0,0.0,1.81785,0.0,1.037,1.021,0.612,0.507,2.227,2.185,0.492,0.0,2.144,0.0
PF3D7_0201300,,,,1.10595,0.276,2.483,3.43,0.489,0.941,1.291,0.7,0.0,0.0,0.0,0.0
PF3D7_0201400,,,,7.9198,0.912,20.054,4.312,1.243,3.378,8.064,3.455,0.878,0.513,0.0,204.2497
PF3D7_0201500,0.0,36.21,196.204,35.4152,23.973,175.736,63.241,59.791,50.085,37.001,42.643,14.988,18.061,5.013,36.8869
PF3D7_0201600,0.0,2.925,14.428,48.1861,391.529,806.114,200.057,74.038,54.357,34.425,39.194,4.032,1.715,0.0,72.9869
PF3D7_0201700,0.0,3.16,5.831,404.29449999999997,1437.781,336.328,16.651,4.417,14.993,20.455,136.907,0.476,0.669,0.111,0.0
PF3D7_0201800,11.707,4.0,2.876,177.07775,914.339,994.448,255.198,71.381,70.04,62.68,67.692,8.674,26.232,4.512,41.1278
PF3D7_0201900,0.0,1.914,3.875,57.9612,146.819,585.227,142.145,63.312,74.072,86.157,43.065,30.999,30.089,1.366,147.6642
PF3D7_0202000,6.401,13.039,55.92,121.81484999999999,1463.467,1526.364,315.246,153.685,118.043,118.907,70.376,16.176,26.786,3.349,41.3873
PF3D7_0202100,1079.578,1015.867,818.432,120.67179999999999,64.714,8.025,3.001,2.126,5.039,7.998,57.588,1.916,0.319,4.277,71.0861
PF3D7_0202200,8.18,22.321,17.423,773.95755,1333.041,251.013,19.154,4.389,13.065,17.376,218.079,1.181,0.662,1.75,17.073
PF3D7_0202300,28.857,32.793,7.764,36.8244,23.299,62.983,110.531,13.211,8.333,2.604,10.108,0.0,3.792,0.638,0.0
PF3D7_0202400,56.589,151.249,221.506,120.04204999999999,221.753,1611.398,781.45,243.536,358.523,373.035,145.373,13.921,21.249,9.414,7.9434
PF3D7_0202500,51.087,26.379,13.194,11126.1706,11347.827,4772.338,408.482,58.946,376.598,809.686,7046.869,14.538,15.194,34.63,91.1927
PF3D7_0202600,119.559,91.639,92.564,45.97535,28.098,77.587,100.782,119.558,102.92,84.405,61.807,190.746,247.16,383.181,50.521
PF3D7_0202700,111.105,104.398,140.996,41.82095,4.86,18.274,53.811,85.648,115.598,65.824,73.43,53.215,145.529,84.255,148.2435
PF3D7_0202800,0.0,7.067,11.249,49.0791,3.135,1.672,25.275,73.102,110.637,73.487,65.614,97.888,86.79,58.304,127.8038
PF3D7_0202900,,,,47.4101,3.562,1.717,22.08,67.019,99.864,59.309,63.992,433.282,552.28,677.838,349.6866
PF3D7_0203000,9.994,24.087,49.348,60.5803,9.431,2.41,11.855,41.01,71.059,102.405,88.443,25.053,19.062,12.386,25.3182
PF3D7_0203100,6.336,13.515,17.487,72.2744,7.976,4.311,8.715,11.191,33.832,62.23,93.086,51.303,58.512,65.037,74.096
PF3D7_0203200,7.412,43.441,42.586,52.0982,75.775,82.14,50.553,47.979,70.325,60.426,63.627,30.211,43.299,54.856,66.5034
PF3D7_0203300,0.0,4.249,21.856,36.6725,18.375,48.111,58.899,96.971,136.78,79.503,75.39,212.668,318.651,894.081,178.9862
PF3D7_0203400,127.156,87.98,87.609,68.43225,7.124,7.986,91.334,290.018,300.19,180.576,139.447,66.99,43.944,45.839,133.681
PF3D7_0203600,0.0,6.028,7.2,12.6984,5.734,5.308,13.392,36.828,43.925,30.101,20.76,38.218,21.579,11.091,20.2145
PF3D7_0203700,221.41,109.409,74.799,149.5126,425.268,375.189,297.633,151.398,125.708,109.787,94.366,193.868,190.575,141.513,70.7775
PF3D7_0203800,0.924,7.786,10.278,17.0534,2.604,1.639,24.546,52.129,48.913,31.223,22.907,610.906,766.848,1623.087,608.0656
PF3D7_0203900,31.747,87.626,68.62,32.7337,4.699,22.398,132.505,166.81,124.442,89.089,65.187,207.896,173.731,132.881,130.7904
PF3D7_0204000,4.446,11.229,13.239,14.612400000000001,1.36,5.073,26.916,47.159,46.419,32.804,22.62,49.939,62.125,25.936,152.3163
PF3D7_0204100,2.712,17.13,28.618,82.19675,10.78,4.586,18.859,102.22,157.892,203.117,166.659,152.121,156.637,81.498,85.3458
PF3D7_0204200,16.976,20.954,55.336,645.97045,349.883,427.277,336.596,318.956,319.397,407.05,815.589,117.437,136.729,189.369,291.8329
PF3D7_0204300,10.48,29.791,22.704,81.45355,380.042,300.04,280.546,211.984,128.755,110.843,76.252,44.217,42.745,44.125,37.1711
PF3D7_0204400,2.712,19.285,13.735,20.02435,109.726,85.831,98.363,72.264,35.079,34.398,20.339,4.578,1.05,1.02,4.2944
PF3D7_0204500,27.778,77.794,86.082,39.26965,223.2,175.166,196.686,183.82,103.007,90.346,66.194,26.514,19.43,17.944,0.0
PF3D7_0204600,127.328,33.397,33.059,21.3101,8.524,31.257,68.656,55.664,44.674,30.407,29.035,28.974,23.091,10.102,3.7676
PF3D7_0204700,158.373,115.25,105.811,319.4498,396.216,545.173,445.81,342.912,268.668,242.477,323.293,530.019,551.838,379.103,154.1241
PF3D7_0204800,49.768,176.12,141.43,35.3488,5.892,13.276,105.639,130.234,109.434,78.129,56.231,142.982,167.021,68.989,169.7532
PF3D7_0204900,24.631,99.535,143.758,82.93735,9.064,17.63,117.972,221.783,219.788,170.58,112.556,529.41,432.85,658.55,1718.4319
PF3D7_0205000,38.037,17.963,34.212,95.1147,7.39,3.064,58.62,102.802,168.593,201.271,130.107,174.817,118.574,61.148,183.4255
PF3D7_0205100,42.863,61.494,68.621,84.73205,4.29,3.051,49.129,118.052,167.722,219.992,106.057,160.548,131.004,41.333,536.0957
PF3D7_0205200,0.0,4.307,10.008,70.8187,3.03,1.23,3.265,21.386,93.804,58.581,76.656,62.916,27.045,80.071,3.7288
PF3D7_0205300,15.795,6.942,5.247,7.034549999999999,0.656,0.456,5.319,5.952,8.767,9.761,8.966,51.954,46.496,44.898,116.9236
PF3D7_0205400,128.371,287.627,265.833,36.896249999999995,141.781,120.296,126.948,111.939,79.062,74.921,44.615,80.94,95.474,75.144,117.2076
PF3D7_0205500,69.07,107.476,130.01,84.9244,345.936,335.868,273.526,317.911,253.273,147.885,121.666,84.591,106.833,123.082,110.6693
PF3D7_0205600,21.254,64.139,63.626,44.41505,15.343,16.548,56.824,77.37,77.041,67.31,54.177,170.258,168.041,60.642,513.0684
PF3D7_0205700,16.704,16.379,33.029,47.9341,341.711,190.376,47.612,49.99,60.405,38.286,41.527,35.757,34.909,67.861,16.4122
PF3D7_0205800,3.783,12.147,55.405,79.94515,21.998,30.024,61.2,179.926,213.279,130.492,125.316,129.429,85.003,146.352,26.9576
PF3D7_0205900,415.319,300.183,254.701,435.2667,185.547,359.843,546.305,770.487,814.928,817.048,589.446,271.207,289.629,391.313,154.9122
